Year,Award,Player/Coach,Team
2014,Player of the Year,112,19
2014,Front Office Bowl MVP,3,19
2014,Offensive Player of the Year,9,29
2014,Defensive Player of the Year,1359,14
2014,Offensive Rookie of the Year,1662,20
2014,Defensive Rookie of the Year,1813,27
2014,All-League First Team Quarterback,9,29
2014,All-League First Team Running Back,459,25
2014,All-League First Team Fullback,198,15
2014,All-League First Team Tight End,242,29
2014,All-League First Team Wide Receiver,238,25
2014,All-League First Team Wide Receiver,16,22
2014,All-League First Team Center,157,24
2014,All-League First Team Offensive Guard,244,11
2014,All-League First Team Offensive Guard,1251,6
2014,All-League First Team Offensive Tackle,132,27
2014,All-League First Team Offensive Tackle,1490,21
2014,All-League First Team Punter,2805,9
2014,All-League First Team Kicker,297,14
2014,All-League First Team Defensive End,466,10
2014,All-League First Team Defensive End,254,5
2014,All-League First Team Defensive Tackle,176,4
2014,All-League First Team Defensive Tackle,584,7
2014,All-League First Team Inside Linebacker,223,26
2014,All-League First Team Outside Linebacker,1667,10
2014,All-League First Team Outside Linebacker,407,17
2014,All-League First Team Cornerback,1747,25
2014,All-League First Team Cornerback,1813,27
2014,All-League First Team Safety,1359,14
2014,All-League First Team Safety,708,3
2014,All-League Second Team Quarterback,112,19
2014,All-League Second Team Running Back,1837,24
2014,All-League Second Team Fullback,1573,28
2014,All-League Second Team Tight End,321,17
2014,All-League Second Team Wide Receiver,192,26
2014,All-League Second Team Wide Receiver,353,18
2014,All-League Second Team Center,82,20
2014,All-League Second Team Offensive Guard,1068,10
2014,All-League Second Team Offensive Guard,397,3
2014,All-League Second Team Offensive Tackle,729,3
2014,All-League Second Team Offensive Tackle,1520,6
2014,All-League Second Team Punter,1173,4
2014,All-League Second Team Kicker,1574,31
2014,All-League Second Team Defensive End,305,29
2014,All-League Second Team Defensive End,624,21
2014,All-League Second Team Defensive Tackle,790,12
2014,All-League Second Team Defensive Tackle,55,1
2014,All-League Second Team Inside Linebacker,312,12
2014,All-League Second Team Outside Linebacker,291,11
2014,All-League Second Team Outside Linebacker,804,30
2014,All-League Second Team Cornerback,1626,29
2014,All-League Second Team Cornerback,1681,4
2014,All-League Second Team Safety,290,30
2014,All-League Second Team Safety,1824,6
2014,League's Fastest Man,1295,24
2014,League's Strongest Man,360,17
