Year,Team,Playoff_Performance,Average_Attendance,Percent_of_Capacity_(of_1000),TV_Contract_(all_money_is_in_thousands),Ticket_Revenue,Suite_Revenue,Salary_Cost,Bonuses,Concessions,Parking,Advertising,Staff_Cost,Maintenance,Stadium_Payments,Overall_Performance,Franchise_Value,Profit,Season_Tickets_Sold,Capacity,Top_Quarterback,Top_Rusher,Top_Receiver,Top_Tackler,Coach,Quarterback_Passing_Yardage,Rusher_Yardage,Receiver_Yardage,Tackles
2015,0,None,0,0,0,56400,37560,56640,75740,0,0,0,0,0,0,0,0,0,0,0,98,1864,883,794,0,2662,1660,618,109
2015,1,None,0,0,0,35940,21210,63100,86710,0,0,0,0,0,0,0,0,0,0,0,185,960,277,988,219,3450,572,1053,94
2015,2,Division,0,0,0,44400,24570,61390,89920,0,0,0,0,0,0,0,0,0,0,0,741,170,742,1459,12,3306,1206,652,107
2015,3,None,0,0,0,53090,32900,69590,58010,0,0,0,0,0,0,0,0,0,0,0,1488,477,571,708,37,3246,1503,979,100
2015,4,None,0,0,0,55940,35030,68650,61410,0,0,0,0,0,0,0,0,0,0,0,363,754,150,482,20,3357,1283,872,99
2015,5,None,0,0,0,50920,32950,78610,18330,0,0,0,0,0,0,0,0,0,0,0,1006,699,1639,1560,230,3609,755,1190,97
2015,6,Wild Card,0,0,0,40270,20630,81890,71950,0,0,0,0,0,0,0,0,0,0,0,1441,1134,189,1824,30,3409,1667,829,104
2015,7,None,0,0,0,64470,44840,67430,62700,0,0,0,0,0,0,0,0,0,0,0,648,947,557,1128,35,2718,683,559,159
2015,8,None,0,0,0,61120,42310,68120,94270,0,0,0,0,0,0,0,0,0,0,0,370,1109,533,884,234,3447,988,1256,113
2015,9,None,0,0,0,35780,17990,67000,62860,0,0,0,0,0,0,0,0,0,0,0,792,1069,1799,209,45,2641,825,840,94
2015,10,Won Conference,0,0,0,75940,46810,68850,68330,0,0,0,0,0,0,0,0,0,0,0,1461,1550,1605,690,50,3527,1006,672,103
2015,11,None,0,0,0,35040,19470,77120,37340,0,0,0,0,0,0,0,0,0,0,0,200,1637,405,431,268,2666,1050,1242,114
2015,12,None,0,0,0,39680,21570,79190,32940,0,0,0,0,0,0,0,0,0,0,0,1138,165,1593,312,60,3588,1025,775,107
2015,13,None,0,0,0,54440,37040,53990,90280,0,0,0,0,0,0,0,0,0,0,0,154,1797,3444,1121,132,3253,1012,1297,106
2015,14,Wild Card,0,0,0,60810,41030,76920,53290,0,0,0,0,0,0,0,0,0,0,0,898,2448,1517,1789,96,3905,696,914,113
2015,15,None,0,0,0,38210,21190,64800,52580,0,0,0,0,0,0,0,0,0,0,0,177,1601,377,574,157,3295,731,972,105
2015,16,None,0,0,0,48040,28690,83390,30760,0,0,0,0,0,0,0,0,0,0,0,94,1567,1586,640,80,3673,773,1003,76
2015,17,None,0,0,0,48060,30110,74250,49520,0,0,0,0,0,0,0,0,0,0,0,29,913,1877,407,85,4328,909,1565,83
2015,18,Division,0,0,0,71640,49570,74120,74820,0,0,0,0,0,0,0,0,0,0,0,1557,1762,811,136,90,3660,1223,1625,115
2015,19,Conference,0,0,0,71880,48130,62950,71850,0,0,0,0,0,0,0,0,0,0,0,112,1740,1716,1694,95,4513,999,1291,94
2015,20,Champion,0,0,0,77710,44290,72660,50070,0,0,0,0,0,0,0,0,0,0,0,1662,731,1850,257,172,3869,871,1027,97
2015,21,None,0,0,0,49970,30250,68600,45260,0,0,0,0,0,0,0,0,0,0,0,1092,1700,1752,999,105,4152,991,1270,121
2015,22,None,0,0,0,54090,35330,81160,32880,0,0,0,0,0,0,0,0,0,0,0,3245,581,569,196,110,3660,1284,1043,101
2015,23,None,0,0,0,73380,56530,67780,57710,0,0,0,0,0,0,0,0,0,0,0,142,3256,3427,121,263,3616,1037,1026,110
2015,24,None,0,0,0,40590,23660,71660,89060,0,0,0,0,0,0,0,0,0,0,0,73,1837,1295,908,120,3454,1665,1250,99
