Category,Team/All_Teams,Place,Player,Record,Year,Team,Opponent
Quarterback Rating,0,0,98,1283,2014,0,25
Quarterback Rating,0,1,1536,1184,2016,0,3
Quarterback Rating,0,2,98,1164,2015,0,25
Quarterback Rating,0,3,98,1111,2015,0,22
Quarterback Rating,0,4,98,1094,2015,0,24
Quarterback Rating,0,5,98,1073,2014,0,26
Quarterback Rating,0,6,98,1072,2015,0,21
Quarterback Rating,0,7,98,1060,2015,0,15
Quarterback Rating,0,8,98,1025,2014,0,20
Quarterback Rating,0,9,1536,986,2016,0,7
Quarterback Rating,0,10,1536,972,2016,0,26
Quarterback Rating,0,11,98,958,2015,0,26
Quarterback Rating,0,12,1536,958,2016,0,25
Quarterback Rating,0,13,98,951,2014,0,18
Quarterback Rating,0,14,98,943,2014,0,8
Quarterback Rating,0,15,98,926,2014,0,21
Quarterback Rating,0,16,98,919,2014,0,7
Quarterback Rating,0,17,98,915,2015,0,17
Quarterback Rating,0,18,98,894,2015,0,30
Quarterback Rating,0,19,98,873,2014,0,23
Quarterback Rating,0,20,98,854,2014,0,13
Quarterback Rating,0,21,98,853,2015,0,9
Quarterback Rating,0,22,1536,815,2016,0,17
Quarterback Rating,0,23,98,813,2014,0,9
Quarterback Rating,0,24,1536,813,2016,0,24
Quarterback Rating,0,25,1536,810,2016,0,16
Quarterback Rating,0,26,911,796,2014,0,25
Quarterback Rating,0,27,1536,792,2015,0,24
Quarterback Rating,0,28,1536,787,2016,0,24
Quarterback Rating,0,29,1536,762,2016,0,25
Quarterback Rating,0,30,911,729,2014,0,24
Quarterback Rating,0,31,1536,729,2016,0,9
Quarterback Rating,0,32,98,701,2015,0,10
Quarterback Rating,0,33,98,667,2014,0,29
Quarterback Rating,0,34,98,654,2014,0,1
Quarterback Rating,0,35,1536,645,2016,0,4
Quarterback Rating,0,36,98,642,2015,0,6
Quarterback Rating,0,37,1536,640,2016,0,14
Quarterback Rating,0,38,1536,623,2015,0,25
Quarterback Rating,0,39,98,618,2015,0,2
Quarterback Rating,0,40,98,558,2015,0,26
Quarterback Rating,0,41,1536,535,2016,0,27
Quarterback Rating,0,42,98,526,2015,0,5
Quarterback Rating,0,43,98,419,2014,0,26
Quarterback Rating,0,44,1536,205,2016,0,19
Pass Attempts,0,0,98,46,2014,0,18
Pass Attempts,0,1,98,42,2014,0,23
Pass Attempts,0,2,98,42,2014,0,21
Pass Attempts,0,3,1536,42,2016,0,24
Pass Attempts,0,4,1536,42,2016,0,19
Pass Attempts,0,5,98,41,2015,0,21
Pass Attempts,0,6,911,40,2014,0,25
Pass Attempts,0,7,98,39,2014,0,29
Pass Attempts,0,8,98,39,2014,0,7
Pass Attempts,0,9,98,38,2014,0,13
Pass Attempts,0,10,98,37,2015,0,2
Pass Attempts,0,11,1536,36,2016,0,7
Pass Attempts,0,12,1536,36,2016,0,14
Pass Attempts,0,13,98,35,2014,0,8
Pass Attempts,0,14,98,35,2014,0,20
Pass Attempts,0,15,98,35,2014,0,1
Pass Attempts,0,16,98,34,2014,0,26
Pass Attempts,0,17,1536,34,2015,0,25
Pass Attempts,0,18,1536,34,2016,0,27
Pass Attempts,0,19,1536,34,2016,0,4
Pass Attempts,0,20,1536,34,2016,0,16
Pass Attempts,0,21,98,33,2014,0,26
Pass Attempts,0,22,98,33,2015,0,6
Pass Attempts,0,23,98,32,2014,0,9
Pass Attempts,0,24,1536,32,2016,0,17
Pass Attempts,0,25,1536,31,2015,0,24
Pass Attempts,0,26,98,31,2015,0,10
Pass Attempts,0,27,1536,31,2016,0,26
Pass Attempts,0,28,1536,30,2016,0,9
Pass Attempts,0,29,98,29,2015,0,9
Pass Attempts,0,30,98,28,2014,0,25
Pass Attempts,0,31,98,28,2015,0,26
Pass Attempts,0,32,1536,28,2016,0,25
Pass Attempts,0,33,98,27,2015,0,24
Pass Attempts,0,34,1536,27,2016,0,3
Pass Attempts,0,35,911,26,2014,0,24
Pass Attempts,0,36,98,26,2015,0,17
Pass Attempts,0,37,98,24,2015,0,5
Pass Attempts,0,38,98,24,2015,0,22
Pass Attempts,0,39,1536,24,2016,0,25
Pass Attempts,0,40,98,23,2015,0,15
Pass Attempts,0,41,98,23,2015,0,30
Pass Attempts,0,42,1536,23,2016,0,24
Pass Attempts,0,43,98,22,2015,0,25
Pass Attempts,0,44,98,20,2015,0,26
Pass Attempts,0,45,1536,17,2016,0,26
Pass Attempts,0,46,98,16,2014,0,24
Pass Attempts,0,47,1536,16,2016,0,1
Pass Attempts,0,48,98,12,2015,0,24
Pass Attempts,0,49,1536,11,2014,0,21
Pass Attempts,0,50,1536,5,2015,0,25
Pass Attempts,0,51,3209,3,2016,0,19
Pass Completions,0,0,98,31,2014,0,18
Pass Completions,0,1,98,29,2014,0,7
Pass Completions,0,2,98,28,2014,0,20
Pass Completions,0,3,98,27,2014,0,21
Pass Completions,0,4,98,27,2014,0,13
Pass Completions,0,5,98,27,2015,0,21
Pass Completions,0,6,98,26,2015,0,2
Pass Completions,0,7,1536,26,2016,0,7
Pass Completions,0,8,98,25,2014,0,23
Pass Completions,0,9,98,24,2014,0,8
Pass Completions,0,10,98,24,2014,0,26
Pass Completions,0,11,1536,24,2016,0,24
Pass Completions,0,12,1536,24,2016,0,17
Pass Completions,0,13,911,23,2014,0,25
Pass Completions,0,14,98,22,2015,0,24
Pass Completions,0,15,1536,22,2016,0,26
Pass Completions,0,16,1536,22,2016,0,4
Pass Completions,0,17,98,21,2014,0,25
Pass Completions,0,18,1536,21,2016,0,14
Pass Completions,0,19,1536,21,2016,0,16
Pass Completions,0,20,98,20,2014,0,9
Pass Completions,0,21,98,20,2015,0,9
Pass Completions,0,22,98,19,2014,0,29
Pass Completions,0,23,98,19,2015,0,6
Pass Completions,0,24,1536,19,2016,0,25
Pass Completions,0,25,98,18,2014,0,1
Pass Completions,0,26,1536,18,2015,0,24
Pass Completions,0,27,98,18,2015,0,17
Pass Completions,0,28,98,18,2015,0,22
Pass Completions,0,29,98,17,2015,0,10
Pass Completions,0,30,98,17,2015,0,25
Pass Completions,0,31,1536,17,2015,0,25
Pass Completions,0,32,1536,17,2016,0,9
Pass Completions,0,33,1536,17,2016,0,25
Pass Completions,0,34,98,16,2015,0,15
Pass Completions,0,35,98,16,2015,0,30
Pass Completions,0,36,1536,16,2016,0,3
Pass Completions,0,37,98,15,2014,0,26
