Information,Value/Round/Position,Value/Team/Position,Value/Team
Game Stage,End of Season
Salary Cap (in tens of thousands),14220
Minimum Salary (in thousands),47
Draft Order,1,1,30
Draft Order,1,2,12
Draft Order,1,3,1
Draft Order,1,4,9
Draft Order,1,5,15
Draft Order,1,6,7
Draft Order,1,7,11
Draft Order,1,8,5
Draft Order,1,9,0
Draft Order,1,10,21
Draft Order,1,11,22
Draft Order,1,12,17
Draft Order,1,13,31
Draft Order,1,14,13
Draft Order,1,15,16
Draft Order,1,16,3
Draft Order,1,17,24
Draft Order,1,18,4
Draft Order,1,19,23
Draft Order,1,20,8
Draft Order,1,21,14
Draft Order,1,22,29
Draft Order,1,23,27
Draft Order,1,24,6
Draft Order,1,25,28
Draft Order,1,26,26
Draft Order,1,27,18
Draft Order,1,28,2
Draft Order,1,29,25
Draft Order,1,30,19
Draft Order,1,31,10
Draft Order,1,32,20
Draft Order,2,1,30
Draft Order,2,2,12
Draft Order,2,3,9
Draft Order,2,4,15
Draft Order,2,5,7
Draft Order,2,6,1
Draft Order,2,7,5
Draft Order,2,8,11
Draft Order,2,9,21
Draft Order,2,10,22
Draft Order,2,11,0
Draft Order,2,12,31
Draft Order,2,13,13
Draft Order,2,14,16
Draft Order,2,15,3
Draft Order,2,16,17
Draft Order,2,17,4
Draft Order,2,18,23
Draft Order,2,19,24
Draft Order,2,20,8
Draft Order,2,21,29
Draft Order,2,22,14
Draft Order,2,23,6
Draft Order,2,24,27
Draft Order,2,25,26
Draft Order,2,26,28
Draft Order,2,27,18
Draft Order,2,28,2
Draft Order,2,29,25
Draft Order,2,30,19
Draft Order,2,31,10
Draft Order,2,32,20
Draft Order,3,1,30
Draft Order,3,2,12
Draft Order,3,3,15
Draft Order,3,4,7
Draft Order,3,5,1
Draft Order,3,6,9
Draft Order,3,7,11
Draft Order,3,8,5
Draft Order,3,9,22
Draft Order,3,10,0
Draft Order,3,11,21
Draft Order,3,12,13
Draft Order,3,13,16
Draft Order,3,14,3
Draft Order,3,15,17
Draft Order,3,16,31
Draft Order,3,17,23
Draft Order,3,18,24
Draft Order,3,19,4
Draft Order,3,20,8
Draft Order,3,21,14
Draft Order,3,22,29
Draft Order,3,23,27
Draft Order,3,24,6
Draft Order,3,25,28
Draft Order,3,26,26
Draft Order,3,27,18
Draft Order,3,28,2
Draft Order,3,29,25
Draft Order,3,30,19
Draft Order,3,31,10
Draft Order,3,32,20
Draft Order,4,1,30
Draft Order,4,2,12
Draft Order,4,3,7
Draft Order,4,4,1
Draft Order,4,5,9
Draft Order,4,6,15
Draft Order,4,7,5
Draft Order,4,8,11
Draft Order,4,9,0
Draft Order,4,10,21
Draft Order,4,11,22
Draft Order,4,12,16
Draft Order,4,13,3
Draft Order,4,14,17
Draft Order,4,15,31
Draft Order,4,16,13
Draft Order,4,17,24
Draft Order,4,18,4
Draft Order,4,19,23
Draft Order,4,20,8
Draft Order,4,21,29
Draft Order,4,22,14
Draft Order,4,23,6
Draft Order,4,24,27
Draft Order,4,25,26
Draft Order,4,26,28
Draft Order,4,27,18
Draft Order,4,28,2
Draft Order,4,29,25
Draft Order,4,30,19
Draft Order,4,31,10
Draft Order,4,32,20
Draft Order,5,1,30
Draft Order,5,2,12
Draft Order,5,3,1
Draft Order,5,4,9
Draft Order,5,5,15
Draft Order,5,6,7
Draft Order,5,7,11
Draft Order,5,8,5
Draft Order,5,9,21
Draft Order,5,10,22
Draft Order,5,11,0
Draft Order,5,12,3
Draft Order,5,13,17
Draft Order,5,14,31
Draft Order,5,15,13
Draft Order,5,16,16
Draft Order,5,17,4
Draft Order,5,18,23
Draft Order,5,19,24
Draft Order,5,20,8
Draft Order,5,21,14
Draft Order,5,22,29
Draft Order,5,23,27
Draft Order,5,24,6
Draft Order,5,25,28
Draft Order,5,26,26
Draft Order,5,27,18
Draft Order,5,28,2
Draft Order,5,29,25
Draft Order,5,30,19
Draft Order,5,31,10
Draft Order,5,32,20
Draft Order,6,1,30
Draft Order,6,2,12
Draft Order,6,3,9
Draft Order,6,4,15
Draft Order,6,5,7
Draft Order,6,6,1
Draft Order,6,7,5
Draft Order,6,8,11
Draft Order,6,9,22
Draft Order,6,10,0
Draft Order,6,11,21
Draft Order,6,12,17
Draft Order,6,13,31
Draft Order,6,14,13
Draft Order,6,15,16
Draft Order,6,16,3
Draft Order,6,17,23
Draft Order,6,18,24
Draft Order,6,19,4
Draft Order,6,20,8
Draft Order,6,21,29
Draft Order,6,22,14
Draft Order,6,23,6
Draft Order,6,24,27
Draft Order,6,25,26
Draft Order,6,26,28
Draft Order,6,27,18
Draft Order,6,28,2
Draft Order,6,29,25
Draft Order,6,30,19
Draft Order,6,31,10
Draft Order,6,32,20
Draft Order,7,1,30
Draft Order,7,2,12
Draft Order,7,3,15
Draft Order,7,4,7
Draft Order,7,5,1
Draft Order,7,6,9
Draft Order,7,7,11
Draft Order,7,8,5
Draft Order,7,9,0
Draft Order,7,10,21
Draft Order,7,11,22
Draft Order,7,12,31
Draft Order,7,13,13
Draft Order,7,14,16
Draft Order,7,15,3
Draft Order,7,16,17
Draft Order,7,17,24
Draft Order,7,18,4
Draft Order,7,19,23
Draft Order,7,20,8
Draft Order,7,21,14
Draft Order,7,22,29
Draft Order,7,23,27
Draft Order,7,24,6
Draft Order,7,25,28
Draft Order,7,26,26
Draft Order,7,27,18
Draft Order,7,28,2
Draft Order,7,29,25
Draft Order,7,30,19
Draft Order,7,31,10
Draft Order,7,32,20
Draft Pick Owner - This Year,1,1,0
Draft Pick Owner - This Year,1,2,1
Draft Pick Owner - This Year,1,3,2
Draft Pick Owner - This Year,1,4,3
Draft Pick Owner - This Year,1,5,4
Draft Pick Owner - This Year,1,6,5
Draft Pick Owner - This Year,1,7,6
Draft Pick Owner - This Year,1,8,7
Draft Pick Owner - This Year,1,9,8
Draft Pick Owner - This Year,1,10,9
Draft Pick Owner - This Year,1,11,10
Draft Pick Owner - This Year,1,12,11
Draft Pick Owner - This Year,1,13,12
Draft Pick Owner - This Year,1,14,13
Draft Pick Owner - This Year,1,15,14
Draft Pick Owner - This Year,1,16,15
Draft Pick Owner - This Year,1,17,16
Draft Pick Owner - This Year,1,18,17
Draft Pick Owner - This Year,1,19,18
Draft Pick Owner - This Year,1,20,19
Draft Pick Owner - This Year,1,21,20
Draft Pick Owner - This Year,1,22,21
Draft Pick Owner - This Year,1,23,22
Draft Pick Owner - This Year,1,24,23
Draft Pick Owner - This Year,1,25,24
Draft Pick Owner - This Year,1,26,25
Draft Pick Owner - This Year,1,27,26
Draft Pick Owner - This Year,1,28,27
Draft Pick Owner - This Year,1,29,28
Draft Pick Owner - This Year,1,30,29
Draft Pick Owner - This Year,1,31,30
Draft Pick Owner - This Year,1,32,31
Draft Pick Owner - This Year,2,1,0
Draft Pick Owner - This Year,2,2,1
Draft Pick Owner - This Year,2,3,2
Draft Pick Owner - This Year,2,4,3
Draft Pick Owner - This Year,2,5,4
Draft Pick Owner - This Year,2,6,5
Draft Pick Owner - This Year,2,7,6
Draft Pick Owner - This Year,2,8,7
Draft Pick Owner - This Year,2,9,8
Draft Pick Owner - This Year,2,10,9
Draft Pick Owner - This Year,2,11,10
Draft Pick Owner - This Year,2,12,11
Draft Pick Owner - This Year,2,13,12
Draft Pick Owner - This Year,2,14,13
Draft Pick Owner - This Year,2,15,14
