Category,Team/All_Teams,Place,Player,Record,Last_Year
Quarterback Rating,0,0,1536,920,2017
Quarterback Rating,0,1,98,866,2015
Pass Attempts,0,0,1536,971,2017
Pass Attempts,0,1,98,894,2015
Pass Attempts,0,2,911,66,2014
Pass Attempts,0,3,2394,42,2017
Pass Attempts,0,4,3209,26,2017
Pass Completions,0,0,1536,608,2017
Pass Completions,0,1,98,583,2015
Pass Completions,0,2,911,37,2014
Pass Completions,0,3,2394,30,2017
Pass Completions,0,4,3209,13,2017
Completion Percentage,0,0,98,652,2015
Completion Percentage,0,1,1536,626,2017
Passing Yards,0,0,1536,6548,2017
Passing Yards,0,1,98,5992,2015
Passing Yards,0,2,911,386,2014
Passing Yards,0,3,2394,322,2017
Passing Yards,0,4,3209,87,2017
Yards per Pass Attempt,0,0,1536,674,2017
Yards per Pass Attempt,0,1,98,670,2015
Passing Touchdowns,0,0,1536,48,2017
Passing Touchdowns,0,1,98,26,2015
Passing Touchdowns,0,2,911,2,2014
Passing Touchdowns,0,3,2394,2,2017
Times Sacked,0,0,98,76,2015
Times Sacked,0,1,1536,52,2017
Times Sacked,0,2,911,8,2014
Times Sacked,0,3,3209,3,2017
Times Sacked,0,4,2394,1,2017
300 Yards Passing,0,0,98,3,2015
300 Yards Passing,0,1,1536,2,2017
Rushing Attempts,0,0,1864,1218,2017
Rushing Attempts,0,1,1536,148,2017
Rushing Attempts,0,2,2423,118,2017
Rushing Attempts,0,3,1836,111,2017
Rushing Attempts,0,4,3272,98,2015
Rushing Attempts,0,5,831,92,2015
Rushing Attempts,0,6,1951,61,2016
Rushing Attempts,0,7,98,57,2015
Rushing Attempts,0,8,4891,21,2017
Rushing Attempts,0,9,4071,14,2016
Rushing Attempts,0,10,3270,10,2017
Rushing Attempts,0,11,433,7,2014
Rushing Attempts,0,12,911,6,2014
Rushing Attempts,0,13,842,4,2017
Rushing Attempts,0,14,2394,3,2017
Rushing Attempts,0,15,1771,2,2014
Rushing Attempts,0,16,260,2,2017
Rushing Attempts,0,17,2424,1,2016
Rushing Attempts,0,18,3370,1,2016
Rushing Attempts,0,19,4255,1,2017
Rushing Yards,0,0,1864,6001,2017
Rushing Yards,0,1,1536,849,2017
Rushing Yards,0,2,2423,504,2017
Rushing Yards,0,3,1836,375,2017
Rushing Yards,0,4,3272,348,2015
Rushing Yards,0,5,831,254,2015
Rushing Yards,0,6,98,230,2015
Rushing Yards,0,7,1951,205,2016
Rushing Yards,0,8,4891,122,2017
Rushing Yards,0,9,4071,54,2016
Rushing Yards,0,10,911,40,2014
Rushing Yards,0,11,3270,36,2017
Rushing Yards,0,12,842,24,2017
Rushing Yards,0,13,433,20,2014
Rushing Yards,0,14,4255,13,2017
Rushing Yards,0,15,260,12,2017
Rushing Yards,0,16,2394,12,2017
Rushing Yards,0,17,1771,3,2014
Rushing Yards,0,18,2424,1,2016
Yards per Carry,0,0,1864,493,2017
Rushing Touchdowns,0,0,1864,37,2017
Rushing Touchdowns,0,1,98,4,2015
Rushing Touchdowns,0,2,2423,4,2017
Rushing Touchdowns,0,3,1536,3,2017
Rushing Touchdowns,0,4,1836,3,2017
Rushing Touchdowns,0,5,831,2,2015
Rushing Touchdowns,0,6,3272,2,2015
100 Yards Rushing,0,0,1864,27,2017
100 Yards Rushing,0,1,831,1,2015
Receptions,0,0,1864,237,2017
Receptions,0,1,842,214,2017
Receptions,0,2,1836,141,2017
Receptions,0,3,1546,130,2015
Receptions,0,4,4255,61,2017
Receptions,0,5,883,52,2015
Receptions,0,6,1288,51,2016
Receptions,0,7,1675,51,2017
Receptions,0,8,1771,49,2014
Receptions,0,9,1819,44,2016
Receptions,0,10,260,37,2017
Receptions,0,11,557,36,2017
Receptions,0,12,1365,28,2015
Receptions,0,13,2589,21,2014
Receptions,0,14,2566,18,2015
Receptions,0,15,3272,12,2015
Receptions,0,16,831,11,2015
Receptions,0,17,2634,11,2016
Receptions,0,18,2012,10,2014
Receptions,0,19,1093,10,2017
Receptions,0,20,1951,8,2016
Receptions,0,21,2512,7,2016
Receptions,0,22,2423,5,2017
Receptions,0,23,4980,5,2017
Receptions,0,24,369,4,2014
Receptions,0,25,1371,3,2014
Receptions,0,26,5016,3,2017
Receptions,0,27,1464,2,2014
Receptions,0,28,4071,2,2016
Receptions,0,29,4891,2,2017
Receptions,0,30,3410,1,2015
Receptions,0,31,3370,1,2016
Receptions,0,32,4232,1,2017
Receiving Yards,0,0,842,2532,2017
Receiving Yards,0,1,1864,1930,2017
Receiving Yards,0,2,1546,1547,2015
Receiving Yards,0,3,1836,1092,2017
Receiving Yards,0,4,4255,850,2017
Receiving Yards,0,5,1288,653,2016
Receiving Yards,0,6,260,623,2017
Receiving Yards,0,7,883,618,2015
Receiving Yards,0,8,1771,515,2014
Receiving Yards,0,9,1819,511,2016
Receiving Yards,0,10,1675,412,2017
Receiving Yards,0,11,557,371,2017
Receiving Yards,0,12,1365,320,2015
Receiving Yards,0,13,2589,248,2014
Receiving Yards,0,14,2566,210,2015
Receiving Yards,0,15,2634,153,2016
Receiving Yards,0,16,831,128,2015
Receiving Yards,0,17,1093,111,2017
Receiving Yards,0,18,2012,66,2014
Receiving Yards,0,19,3272,64,2015
Receiving Yards,0,20,5016,64,2017
Receiving Yards,0,21,369,54,2014
Receiving Yards,0,22,4980,52,2017
Receiving Yards,0,23,1464,38,2014
Receiving Yards,0,24,2512,31,2016
Receiving Yards,0,25,1371,26,2014
Receiving Yards,0,26,2423,20,2017
Receiving Yards,0,27,1951,17,2016
Receiving Yards,0,28,3410,12,2015
Receiving Yards,0,29,4891,5,2017
Receiving Yards,0,30,4071,3,2016
Yards per Reception,0,0,1546,1190,2015
Yards per Reception,0,1,842,1183,2017
Yards per Reception,0,2,1864,814,2017
Yards per Reception,0,3,1836,774,2017
Receiving Touchdowns,0,0,1864,15,2017
Receiving Touchdowns,0,1,1836,11,2017
Receiving Touchdowns,0,2,1546,10,2015
Receiving Touchdowns,0,3,842,9,2017
Receiving Touchdowns,0,4,4255,9,2017
Receiving Touchdowns,0,5,260,4,2017
Receiving Touchdowns,0,6,1675,4,2017
Receiving Touchdowns,0,7,883,3,2015
Receiving Touchdowns,0,8,557,3,2017
Receiving Touchdowns,0,9,1771,2,2014
Receiving Touchdowns,0,10,1288,2,2016
Receiving Touchdowns,0,11,1819,2,2016
Receiving Touchdowns,0,12,1365,1,2015
Receiving Touchdowns,0,13,2566,1,2015
Receiving Touchdowns,0,14,1951,1,2016
Receiving Touchdowns,0,15,2634,1,2016
Targeted Passes,0,0,842,367,2017
Targeted Passes,0,1,1864,319,2017
Targeted Passes,0,2,1546,220,2015
Targeted Passes,0,3,1836,180,2017
Targeted Passes,0,4,4255,102,2017
Targeted Passes,0,5,1288,93,2016
Targeted Passes,0,6,1771,84,2014
Targeted Passes,0,7,883,79,2015
Targeted Passes,0,8,1675,76,2017
Targeted Passes,0,9,1819,69,2016
Targeted Passes,0,10,260,61,2017
Targeted Passes,0,11,557,50,2017
Targeted Passes,0,12,2589,38,2014
Targeted Passes,0,13,1365,37,2015
Targeted Passes,0,14,2566,35,2015
Targeted Passes,0,15,2634,29,2016
Targeted Passes,0,16,1093,20,2017
Targeted Passes,0,17,2012,19,2014
Targeted Passes,0,18,3272,19,2015
Targeted Passes,0,19,831,14,2015
Targeted Passes,0,20,369,12,2014
Targeted Passes,0,21,1951,12,2016
Targeted Passes,0,22,2512,11,2016
Targeted Passes,0,23,2423,8,2017
Targeted Passes,0,24,4232,8,2017
Targeted Passes,0,25,4980,6,2017
Targeted Passes,0,26,5016,5,2017
Targeted Passes,0,27,1464,4,2014
Targeted Passes,0,28,1371,3,2014
Targeted Passes,0,29,3370,3,2016
Targeted Passes,0,30,3410,2,2015
Targeted Passes,0,31,4071,2,2016
Targeted Passes,0,32,4891,2,2017
Passes Dropped,0,0,842,22,2017
Passes Dropped,0,1,1864,12,2017
Passes Dropped,0,2,1546,10,2015
Passes Dropped,0,3,4255,7,2017
Passes Dropped,0,4,1771,5,2014
Passes Dropped,0,5,1288,5,2016
Passes Dropped,0,6,260,5,2017
Passes Dropped,0,7,2566,4,2015
Passes Dropped,0,8,1093,4,2017
Passes Dropped,0,9,2589,3,2014
Passes Dropped,0,10,1836,3,2017
Passes Dropped,0,11,883,2,2015
Passes Dropped,0,12,2634,2,2016
Passes Dropped,0,13,1675,2,2017
Passes Dropped,0,14,4232,2,2017
Passes Dropped,0,15,369,1,2014
Passes Dropped,0,16,1365,1,2015
Passes Dropped,0,17,3272,1,2015
Passes Dropped,0,18,1819,1,2016
Passes Dropped,0,19,1951,1,2016
Passes Dropped,0,20,3370,1,2016
Passes Dropped,0,21,4980,1,2017
100 Yards Receiving,0,0,1546,4,2015
100 Yards Receiving,0,1,842,3,2017
100 Yards Receiving,0,2,260,1,2017
100 Yards Receiving,0,3,1836,1,2017
100 Yards Receiving,0,4,4255,1,2017
Interceptions,0,0,587,15,2017
Interceptions,0,1,1073,14,2017
Interceptions,0,2,794,4,2016
Interceptions,0,3,389,4,2017
Interceptions,0,4,1333,4,2017
Interceptions,0,5,307,3,2017
Interceptions,0,6,955,3,2017
Interceptions,0,7,995,2,2015
Interceptions,0,8,1729,2,2015
Interceptions,0,9,455,2,2017
Interceptions,0,10,1091,1,2014
Interceptions,0,11,1386,1,2014
Interceptions,0,12,535,1,2015
Interceptions,0,13,861,1,2015
Interceptions,0,14,2264,1,2016
Interceptions,0,15,722,1,2017
Pass Defense Percentage,0,0,1073,816,2017
Pass Defense Percentage,0,1,587,790,2017
Pass Defense Percentage,0,2,389,789,2017
Pass Defense Percentage,0,3,722,775,2017
Pass Defense Percentage,0,4,1333,764,2017
Tackles,0,0,794,298,2016
Tackles,0,1,1333,268,2017
Tackles,0,2,587,250,2017
Tackles,0,3,307,196,2017
Tackles,0,4,1073,182,2017
Tackles,0,5,722,144,2017
Tackles,0,6,1321,124,2017
Tackles,0,7,604,106,2017
Tackles,0,8,3721,104,2017
Tackles,0,9,389,102,2017
Tackles,0,10,995,94,2015
Tackles,0,11,955,79,2017
Tackles,0,12,435,76,2017
Tackles,0,13,139,65,2015
Tackles,0,14,1729,60,2015
Tackles,0,15,1386,53,2014
Tackles,0,16,861,53,2015
Tackles,0,17,1225,50,2015
Tackles,0,18,455,50,2017
Tackles,0,19,131,46,2014
Tackles,0,20,219,46,2017
Tackles,0,21,2973,44,2016
Tackles,0,22,1091,41,2014
Tackles,0,23,1394,41,2016
Tackles,0,24,3008,40,2016
Tackles,0,25,1193,34,2014
Tackles,0,26,3812,33,2015
Tackles,0,27,5487,33,2017
Tackles,0,28,1834,31,2017
Tackles,0,29,4811,31,2017
Tackles,0,30,2909,27,2014
Tackles,0,31,1570,26,2015
Tackles,0,32,2264,26,2016
Tackles,0,33,282,24,2017
Tackles,0,34,791,18,2015
Tackles,0,35,5390,17,2017
Tackles,0,36,371,15,2016
Tackles,0,37,1507,14,2017
Tackles,0,38,1430,11,2017
Tackles,0,39,4497,11,2017
Tackles,0,40,2236,9,2014
Tackles,0,41,2332,9,2016
Tackles,0,42,535,8,2015
Tackles,0,43,2977,7,2014
Tackles,0,44,3156,6,2015
Tackles,0,45,842,6,2017
Tackles,0,46,1772,5,2014
Tackles,0,47,1836,4,2017
Tackles,0,48,426,3,2015
Tackles,0,49,3773,3,2015
Tackles,0,50,1288,3,2016
Tackles,0,51,3014,3,2016
Tackles,0,52,3084,3,2016
Tackles,0,53,4255,3,2017
Tackles,0,54,5603,3,2017
Tackles,0,55,98,2,2015
Tackles,0,56,239,2,2015
Tackles,0,57,2566,2,2015
Tackles,0,58,1951,2,2016
Tackles,0,59,4780,2,2016
Tackles,0,60,1515,2,2017
Tackles,0,61,1536,2,2017
Tackles,0,62,1675,2,2017
Tackles,0,63,691,1,2014
Tackles,0,64,1771,1,2014
Tackles,0,65,1546,1,2015
Tackles,0,66,625,1,2016
Tackles,0,67,1819,1,2016
Tackles,0,68,2512,1,2016
Tackles,0,69,4678,1,2016
Tackles,0,70,557,1,2017
Tackles,0,71,593,1,2017
Tackles,0,72,1041,1,2017
Tackles,0,73,2423,1,2017
Tackles,0,74,4232,1,2017
Assists,0,0,794,105,2016
Assists,0,1,1333,74,2017
Assists,0,2,307,62,2017
Assists,0,3,587,62,2017
Assists,0,4,1321,56,2017
Assists,0,5,1073,53,2017
Assists,0,6,722,50,2017
Assists,0,7,604,43,2017
Assists,0,8,389,40,2017
Assists,0,9,3721,34,2017
Assists,0,10,435,29,2017
Assists,0,11,139,28,2015
Assists,0,12,995,27,2015
Assists,0,13,861,23,2015
Assists,0,14,1386,19,2014
Assists,0,15,1394,19,2016
Assists,0,16,955,19,2017
Assists,0,17,1225,16,2015
Assists,0,18,131,15,2014
Assists,0,19,3812,15,2015
Assists,0,20,5487,15,2017
Assists,0,21,1091,14,2014
Assists,0,22,219,14,2017
Assists,0,23,4811,13,2017
Assists,0,24,2973,12,2016
Assists,0,25,1570,11,2015
Assists,0,26,1729,11,2015
Assists,0,27,455,11,2017
Assists,0,28,1193,10,2014
Assists,0,29,3008,10,2016
Assists,0,30,2264,9,2016
Assists,0,31,1507,8,2017
Assists,0,32,371,7,2016
Assists,0,33,2977,6,2014
Assists,0,34,2236,5,2014
Assists,0,35,2909,5,2014
Assists,0,36,282,5,2017
Assists,0,37,5390,5,2017
Assists,0,38,2332,4,2016
Assists,0,39,1430,4,2017
Assists,0,40,1834,4,2017
Assists,0,41,791,2,2015
Assists,0,42,691,1,2014
Assists,0,43,239,1,2015
Assists,0,44,426,1,2015
Assists,0,45,535,1,2015
Assists,0,46,3156,1,2015
Assists,0,47,3084,1,2016
Assists,0,48,4780,1,2016
