Category,Team/All_Teams,Place,Record,Year,Team,Opponent
Points Scored,0,0,33,2016,0,27
Points Scored,0,1,27,2017,0,10
Points Scored,0,2,27,2017,0,19
Points Scored,0,3,24,2017,0,21
Points Scored,0,4,21,2016,0,4
Points Allowed,0,0,10,2016,0,27
Points Allowed,0,1,16,2017,0,21
Points Allowed,0,2,21,2017,0,10
Points Allowed,0,3,22,2016,0,4
Points Allowed,0,4,31,2017,0,19
Passing Yards,0,0,252,2017,0,19
Passing Yards,0,1,241,2017,0,10
Passing Yards,0,2,163,2017,0,21
Passing Yards,0,3,161,2016,0,27
Passing Yards,0,4,107,2016,0,4
Passing Yards Allowed,0,0,144,2016,0,4
Passing Yards Allowed,0,1,171,2016,0,27
Passing Yards Allowed,0,2,283,2017,0,10
Passing Yards Allowed,0,3,286,2017,0,19
Passing Yards Allowed,0,4,326,2017,0,21
Rushing Yards,0,0,242,2017,0,19
Rushing Yards,0,1,206,2017,0,21
Rushing Yards,0,2,187,2017,0,10
Rushing Yards,0,3,180,2016,0,27
Rushing Yards,0,4,157,2016,0,4
Rushing Yards Allowed,0,0,52,2016,0,4
Rushing Yards Allowed,0,1,53,2017,0,21
Rushing Yards Allowed,0,2,103,2017,0,10
Rushing Yards Allowed,0,3,112,2016,0,27
Rushing Yards Allowed,0,4,125,2017,0,19
Total Yards,0,0,489,2017,0,19
Total Yards,0,1,428,2017,0,10
Total Yards,0,2,369,2017,0,21
Total Yards,0,3,335,2016,0,27
Total Yards,0,4,239,2016,0,4
Total Yards Allowed,0,0,196,2016,0,4
Total Yards Allowed,0,1,280,2016,0,27
Total Yards Allowed,0,2,370,2017,0,21
Total Yards Allowed,0,3,375,2017,0,10
Total Yards Allowed,0,4,407,2017,0,19
Pass Attempts,0,0,36,2017,0,19
Pass Attempts,0,1,31,2016,0,4
Pass Attempts,0,2,27,2016,0,27
Pass Attempts,0,3,23,2017,0,21
Pass Attempts,0,4,15,2017,0,10
Rush Attempts,0,0,42,2017,0,21
Rush Attempts,0,1,42,2017,0,10
Rush Attempts,0,2,41,2016,0,27
Rush Attempts,0,3,40,2017,0,19
Rush Attempts,0,4,39,2016,0,4
Points Scored,1,0,17,2017,1,9
Points Scored,1,1,13,2017,1,10
Points Allowed,1,0,10,2017,1,9
Points Allowed,1,1,40,2017,1,10
Passing Yards,1,0,268,2017,1,9
Passing Yards,1,1,232,2017,1,10
Passing Yards Allowed,1,0,268,2017,1,9
Passing Yards Allowed,1,1,272,2017,1,10
Rushing Yards,1,0,81,2017,1,9
Rushing Yards,1,1,46,2017,1,10
Rushing Yards Allowed,1,0,38,2017,1,9
Rushing Yards Allowed,1,1,141,2017,1,10
Total Yards,1,0,331,2017,1,9
Total Yards,1,1,244,2017,1,10
Total Yards Allowed,1,0,283,2017,1,9
Total Yards Allowed,1,1,413,2017,1,10
Pass Attempts,1,0,39,2017,1,10
Pass Attempts,1,1,36,2017,1,9
Rush Attempts,1,0,24,2017,1,9
Rush Attempts,1,1,18,2017,1,10
Points Scored,2,0,34,2016,2,23
Points Scored,2,1,20,2015,2,20
Points Scored,2,2,16,2016,2,20
Points Scored,2,3,10,2017,2,3
Points Allowed,2,0,21,2015,2,20
Points Allowed,2,1,24,2016,2,23
Points Allowed,2,2,27,2017,2,3
Points Allowed,2,3,37,2016,2,20
Passing Yards,2,0,260,2017,2,3
Passing Yards,2,1,243,2016,2,20
Passing Yards,2,2,233,2016,2,23
Passing Yards,2,3,224,2015,2,20
Passing Yards Allowed,2,0,137,2017,2,3
Passing Yards Allowed,2,1,177,2015,2,20
Passing Yards Allowed,2,2,182,2016,2,20
Passing Yards Allowed,2,3,210,2016,2,23
Rushing Yards,2,0,172,2016,2,23
Rushing Yards,2,1,161,2015,2,20
Rushing Yards,2,2,88,2016,2,20
Rushing Yards,2,3,87,2017,2,3
Rushing Yards Allowed,2,0,95,2015,2,20
Rushing Yards Allowed,2,1,135,2016,2,23
Rushing Yards Allowed,2,2,196,2017,2,3
Rushing Yards Allowed,2,3,211,2016,2,20
Total Yards,2,0,392,2016,2,23
Total Yards,2,1,354,2015,2,20
Total Yards,2,2,324,2017,2,3
Total Yards,2,3,319,2016,2,20
Total Yards Allowed,2,0,260,2015,2,20
Total Yards Allowed,2,1,318,2016,2,23
Total Yards Allowed,2,2,333,2017,2,3
Total Yards Allowed,2,3,382,2016,2,20
Pass Attempts,2,0,46,2017,2,3
Pass Attempts,2,1,43,2015,2,20
Pass Attempts,2,2,39,2016,2,20
Pass Attempts,2,3,26,2016,2,23
Rush Attempts,2,0,35,2016,2,23
Rush Attempts,2,1,25,2015,2,20
Rush Attempts,2,2,24,2016,2,20
Rush Attempts,2,3,19,2017,2,3
Points Scored,3,0,27,2017,3,2
Points Scored,3,1,27,2017,3,31
Points Allowed,3,0,10,2017,3,2
Points Allowed,3,1,34,2017,3,31
Passing Yards,3,0,421,2017,3,31
Passing Yards,3,1,137,2017,3,2
Passing Yards Allowed,3,0,260,2017,3,2
Passing Yards Allowed,3,1,307,2017,3,31
Rushing Yards,3,0,196,2017,3,2
Rushing Yards,3,1,152,2017,3,31
Rushing Yards Allowed,3,0,87,2017,3,2
Rushing Yards Allowed,3,1,120,2017,3,31
Total Yards,3,0,547,2017,3,31
Total Yards,3,1,333,2017,3,2
Total Yards Allowed,3,0,324,2017,3,2
Total Yards Allowed,3,1,427,2017,3,31
Pass Attempts,3,0,48,2017,3,31
Pass Attempts,3,1,20,2017,3,2
Rush Attempts,3,0,44,2017,3,2
Rush Attempts,3,1,24,2017,3,31
Points Scored,4,0,37,2016,4,10
Points Scored,4,1,22,2016,4,0
Points Scored,4,2,13,2016,4,19
Points Scored,4,3,12,2014,4,15
Points Allowed,4,0,21,2016,4,0
Points Allowed,4,1,23,2016,4,10
Points Allowed,4,2,30,2016,4,19
Points Allowed,4,3,37,2014,4,15
Passing Yards,4,0,283,2014,4,15
Passing Yards,4,1,218,2016,4,10
Passing Yards,4,2,197,2016,4,19
Passing Yards,4,3,144,2016,4,0
Passing Yards Allowed,4,0,107,2016,4,0
Passing Yards Allowed,4,1,129,2014,4,15
Passing Yards Allowed,4,2,269,2016,4,19
Passing Yards Allowed,4,3,309,2016,4,10
Rushing Yards,4,0,109,2016,4,10
Rushing Yards,4,1,95,2014,4,15
Rushing Yards,4,2,52,2016,4,0
Rushing Yards,4,3,44,2016,4,19
Rushing Yards Allowed,4,0,78,2016,4,10
Rushing Yards Allowed,4,1,118,2016,4,19
Rushing Yards Allowed,4,2,142,2014,4,15
Rushing Yards Allowed,4,3,157,2016,4,0
Total Yards,4,0,348,2014,4,15
Total Yards,4,1,308,2016,4,10
Total Yards,4,2,228,2016,4,19
Total Yards,4,3,196,2016,4,0
Total Yards Allowed,4,0,239,2016,4,0
Total Yards Allowed,4,1,271,2014,4,15
Total Yards Allowed,4,2,347,2016,4,19
Total Yards Allowed,4,3,380,2016,4,10
Pass Attempts,4,0,44,2014,4,15
Pass Attempts,4,1,41,2016,4,19
Pass Attempts,4,2,31,2016,4,10
Pass Attempts,4,3,26,2016,4,0
Rush Attempts,4,0,28,2016,4,10
Rush Attempts,4,1,26,2016,4,0
Rush Attempts,4,2,23,2014,4,15
Rush Attempts,4,3,19,2016,4,19
Points Scored,6,0,27,2017,6,8
Points Scored,6,1,24,2014,6,19
Points Scored,6,2,21,2015,6,28
Points Scored,6,3,16,2014,6,22
Points Scored,6,4,13,2017,6,19
Points Allowed,6,0,12,2014,6,22
Points Allowed,6,1,23,2017,6,19
Points Allowed,6,2,24,2017,6,8
Points Allowed,6,3,26,2015,6,28
Points Allowed,6,4,34,2014,6,19
Passing Yards,6,0,374,2014,6,19
Passing Yards,6,1,322,2017,6,8
Passing Yards,6,2,256,2014,6,22
Passing Yards,6,3,251,2015,6,28
Passing Yards,6,4,215,2017,6,19
Passing Yards Allowed,6,0,182,2015,6,28
Passing Yards Allowed,6,1,185,2014,6,22
Passing Yards Allowed,6,2,247,2017,6,19
Passing Yards Allowed,6,3,304,2014,6,19
Passing Yards Allowed,6,4,341,2017,6,8
Rushing Yards,6,0,150,2014,6,22
Rushing Yards,6,1,119,2014,6,19
Rushing Yards,6,2,113,2015,6,28
Rushing Yards,6,3,87,2017,6,8
Rushing Yards,6,4,80,2017,6,19
Rushing Yards Allowed,6,0,78,2014,6,22
Rushing Yards Allowed,6,1,87,2014,6,19
Rushing Yards Allowed,6,2,106,2015,6,28
Rushing Yards Allowed,6,3,125,2017,6,19
Rushing Yards Allowed,6,4,135,2017,6,8
Total Yards,6,0,461,2014,6,19
Total Yards,6,1,406,2014,6,22
Total Yards,6,2,389,2017,6,8
Total Yards,6,3,356,2015,6,28
Total Yards,6,4,273,2017,6,19
Total Yards Allowed,6,0,263,2014,6,22
Total Yards Allowed,6,1,277,2015,6,28
Total Yards Allowed,6,2,345,2017,6,19
Total Yards Allowed,6,3,386,2014,6,19
Total Yards Allowed,6,4,453,2017,6,8
Pass Attempts,6,0,52,2017,6,8
Pass Attempts,6,1,45,2014,6,19
Pass Attempts,6,2,39,2015,6,28
Pass Attempts,6,3,32,2017,6,19
Pass Attempts,6,4,27,2014,6,22
Rush Attempts,6,0,32,2014,6,22
Rush Attempts,6,1,27,2015,6,28
Rush Attempts,6,2,26,2017,6,8
Rush Attempts,6,3,23,2017,6,19
Rush Attempts,6,4,20,2014,6,19
Points Scored,7,0,13,2014,7,25
Points Allowed,7,0,20,2014,7,25
Passing Yards,7,0,248,2014,7,25
Passing Yards Allowed,7,0,261,2014,7,25
Rushing Yards,7,0,105,2014,7,25
Rushing Yards Allowed,7,0,60,2014,7,25
Total Yards,7,0,313,2014,7,25
Total Yards Allowed,7,0,307,2014,7,25
Pass Attempts,7,0,35,2014,7,25
Rush Attempts,7,0,31,2014,7,25
Points Scored,8,0,24,2017,8,6
Points Allowed,8,0,27,2017,8,6
Passing Yards,8,0,341,2017,8,6
Passing Yards Allowed,8,0,322,2017,8,6
Rushing Yards,8,0,135,2017,8,6
Rushing Yards Allowed,8,0,87,2017,8,6
Total Yards,8,0,453,2017,8,6
Total Yards Allowed,8,0,389,2017,8,6
Pass Attempts,8,0,37,2017,8,6
Rush Attempts,8,0,26,2017,8,6
Points Scored,9,0,18,2016,9,18
Points Scored,9,1,10,2017,9,1
Points Allowed,9,0,17,2017,9,1
Points Allowed,9,1,31,2016,9,18
Passing Yards,9,0,348,2016,9,18
Passing Yards,9,1,268,2017,9,1
Passing Yards Allowed,9,0,268,2017,9,1
Passing Yards Allowed,9,1,302,2016,9,18
Rushing Yards,9,0,99,2016,9,18
Rushing Yards,9,1,38,2017,9,1
Rushing Yards Allowed,9,0,78,2016,9,18
Rushing Yards Allowed,9,1,81,2017,9,1
Total Yards,9,0,423,2016,9,18
Total Yards,9,1,283,2017,9,1
Total Yards Allowed,9,0,331,2017,9,1
Total Yards Allowed,9,1,374,2016,9,18
Pass Attempts,9,0,51,2016,9,18
Pass Attempts,9,1,37,2017,9,1
Rush Attempts,9,0,23,2017,9,1
Rush Attempts,9,1,19,2016,9,18
Points Scored,10,0,40,2017,10,1
Points Scored,10,1,38,2015,10,25
Points Scored,10,2,30,2016,10,18
Points Scored,10,3,23,2016,10,4
Points Scored,10,4,21,2017,10,0
Points Scored,10,5,17,2015,10,26
Points Scored,10,6,17,2015,10,20
Points Allowed,10,0,13,2017,10,1
Points Allowed,10,1,14,2015,10,26
Points Allowed,10,2,21,2015,10,20
Points Allowed,10,3,23,2015,10,25
Points Allowed,10,4,27,2016,10,18
Points Allowed,10,5,27,2017,10,0
Points Allowed,10,6,37,2016,10,4
Passing Yards,10,0,309,2016,10,4
Passing Yards,10,1,283,2017,10,0
Passing Yards,10,2,272,2017,10,1
Passing Yards,10,3,271,2015,10,20
Passing Yards,10,4,254,2015,10,26
Passing Yards,10,5,239,2016,10,18
Passing Yards,10,6,205,2015,10,25
Passing Yards Allowed,10,0,179,2015,10,26
Passing Yards Allowed,10,1,191,2015,10,20
Passing Yards Allowed,10,2,218,2016,10,4
Passing Yards Allowed,10,3,232,2017,10,1
Passing Yards Allowed,10,4,241,2017,10,0
Passing Yards Allowed,10,5,368,2015,10,25
Passing Yards Allowed,10,6,389,2016,10,18
Rushing Yards,10,0,207,2016,10,18
Rushing Yards,10,1,153,2015,10,26
Rushing Yards,10,2,141,2017,10,1
Rushing Yards,10,3,103,2017,10,0
Rushing Yards,10,4,78,2016,10,4
Rushing Yards,10,5,77,2015,10,25
Rushing Yards,10,6,72,2015,10,20
Rushing Yards Allowed,10,0,46,2017,10,1
Rushing Yards Allowed,10,1,62,2016,10,18
Rushing Yards Allowed,10,2,73,2015,10,25
Rushing Yards Allowed,10,3,109,2016,10,4
Rushing Yards Allowed,10,4,117,2015,10,26
Rushing Yards Allowed,10,5,127,2015,10,20
Rushing Yards Allowed,10,6,187,2017,10,0
Total Yards,10,0,441,2016,10,18
Total Yards,10,1,413,2017,10,1
Total Yards,10,2,401,2015,10,26
Total Yards,10,3,380,2016,10,4
Total Yards,10,4,375,2017,10,0
Total Yards,10,5,335,2015,10,20
Total Yards,10,6,282,2015,10,25
Total Yards Allowed,10,0,244,2017,10,1
Total Yards Allowed,10,1,284,2015,10,26
Total Yards Allowed,10,2,308,2016,10,4
Total Yards Allowed,10,3,310,2015,10,20
Total Yards Allowed,10,4,422,2015,10,25
Total Yards Allowed,10,5,428,2017,10,0
Total Yards Allowed,10,6,437,2016,10,18
Pass Attempts,10,0,51,2016,10,4
Pass Attempts,10,1,49,2015,10,20
Pass Attempts,10,2,43,2015,10,26
Pass Attempts,10,3,43,2017,10,0
Pass Attempts,10,4,38,2017,10,1
Pass Attempts,10,5,37,2016,10,18
Pass Attempts,10,6,29,2015,10,25
Rush Attempts,10,0,38,2016,10,18
Rush Attempts,10,1,35,2017,10,1
Rush Attempts,10,2,33,2015,10,26
Rush Attempts,10,3,32,2015,10,25
Rush Attempts,10,4,25,2017,10,0
Rush Attempts,10,5,24,2016,10,4
Rush Attempts,10,6,14,2015,10,20
Points Scored,13,0,22,2016,13,31
Points Scored,13,1,7,2016,13,19
Points Allowed,13,0,3,2016,13,31
Points Allowed,13,1,27,2016,13,19
Passing Yards,13,0,198,2016,13,31
Passing Yards,13,1,158,2016,13,19
Passing Yards Allowed,13,0,198,2016,13,31
Passing Yards Allowed,13,1,209,2016,13,19
Rushing Yards,13,0,72,2016,13,31
Rushing Yards,13,1,52,2016,13,19
Rushing Yards Allowed,13,0,33,2016,13,31
Rushing Yards Allowed,13,1,100,2016,13,19
Total Yards,13,0,259,2016,13,31
Total Yards,13,1,205,2016,13,19
