Stage,Year,Player_ID/Staff_ID/Round,Transaction,Team,Position_Group/Year,Money,Years/Original_Position/Destination_City,Original_Team/Destination_Position/Misc.
Pre-Staff Draft,2018,18,retired,0,C,0,0,0
Pre-Staff Draft,2018,33,retired,28,K,0,0,0
Pre-Staff Draft,2018,40,retired,15,DT,0,0,0
Pre-Staff Draft,2018,53,retired,27,QB,0,0,0
Pre-Staff Draft,2018,54,retired,8,C,0,0,0
Pre-Staff Draft,2018,55,retired,1,DT,0,0,0
Pre-Staff Draft,2018,62,retired,17,S,0,0,0
Pre-Staff Draft,2018,79,retired,30,DT,0,0,0
Pre-Staff Draft,2018,107,retired,7,G,0,0,0
Pre-Staff Draft,2018,109,retired,26,T,0,0,0
Pre-Staff Draft,2018,116,retired,23,S,0,0,0
Pre-Staff Draft,2018,117,retired,8,K,0,0,0
Pre-Staff Draft,2018,128,retired,9,G,0,0,0
Pre-Staff Draft,2018,132,retired,27,T,0,0,0
Pre-Staff Draft,2018,138,retired,5,TE,0,0,0
Pre-Staff Draft,2018,155,retired,10,C,0,0,0
Pre-Staff Draft,2018,163,retired,13,WR,0,0,0
Pre-Staff Draft,2018,176,retired,4,DT,0,0,0
Pre-Staff Draft,2018,187,retired,14,WR,0,0,0
Pre-Staff Draft,2018,190,retired,14,DT,0,0,0
Pre-Staff Draft,2018,192,retired,27,WR,0,0,0
Pre-Staff Draft,2018,196,retired,22,ILB,0,0,0
Pre-Staff Draft,2018,226,retired,22,OLB,0,0,0
Pre-Staff Draft,2018,233,retired,26,OLB,0,0,0
Pre-Staff Draft,2018,238,retired,25,WR,0,0,0
Pre-Staff Draft,2018,242,retired,29,TE,0,0,0
Pre-Staff Draft,2018,245,retired,9,FB,0,0,0
Pre-Staff Draft,2018,252,retired,7,C,0,0,0
Pre-Staff Draft,2018,253,retired,31,OLB,0,0,0
Pre-Staff Draft,2018,254,retired,27,DE,0,0,0
Pre-Staff Draft,2018,257,retired,3,ILB,0,0,0
Pre-Staff Draft,2018,271,retired,14,TE,0,0,0
Pre-Staff Draft,2018,281,retired,14,WR,0,0,0
Pre-Staff Draft,2018,290,retired,30,S,0,0,0
Pre-Staff Draft,2018,410,retired,10,OLB,0,0,0
Pre-Staff Draft,2018,476,retired,26,OLB,0,0,0
Pre-Staff Draft,2018,511,retired,10,CB,0,0,0
Pre-Staff Draft,2018,533,retired,8,WR,0,0,0
Pre-Staff Draft,2018,699,retired,12,RB,0,0,0
Pre-Staff Draft,2018,37,retired as head coach,3,0,0,0,0
Pre-Staff Draft,2018,4,re-signed as strength coordinator,0,0,0,0,0
Pre-Staff Draft,2018,12,re-signed as head coach,2,0,0,0,0
Pre-Staff Draft,2018,94,re-signed as strength coordinator,3,0,0,0,0
Pre-Staff Draft,2018,166,re-signed as strength coordinator,4,0,0,0,0
Pre-Staff Draft,2018,5,re-signed as assistant coach,6,0,0,0,0
Pre-Staff Draft,2018,44,re-signed as strength coordinator,6,0,0,0,0
Pre-Staff Draft,2018,193,re-signed as assistant coach,7,0,0,0,0
Pre-Staff Draft,2018,234,re-signed as head coach,8,0,0,0,0
Pre-Staff Draft,2018,229,re-signed as strength coordinator,8,0,0,0,0
Pre-Staff Draft,2018,59,re-signed as strength coordinator,9,0,0,0,0
Pre-Staff Draft,2018,160,re-signed as strength coordinator,12,0,0,0,0
Pre-Staff Draft,2018,132,re-signed as head coach,13,0,0,0,0
Pre-Staff Draft,2018,96,re-signed as head coach,14,0,0,0,0
Pre-Staff Draft,2018,157,re-signed as head coach,15,0,0,0,0
Pre-Staff Draft,2018,38,re-signed as offensive coordinator,15,0,0,0,0
Pre-Staff Draft,2018,247,re-signed as strength coordinator,15,0,0,0,0
Pre-Staff Draft,2018,81,re-signed as offensive coordinator,16,0,0,0,0
Pre-Staff Draft,2018,182,re-signed as strength coordinator,16,0,0,0,0
Pre-Staff Draft,2018,236,re-signed as strength coordinator,18,0,0,0,0
Pre-Staff Draft,2018,171,re-signed as offensive coordinator,19,0,0,0,0
Pre-Staff Draft,2018,256,re-signed as strength coordinator,19,0,0,0,0
Pre-Staff Draft,2018,172,re-signed as head coach,20,0,0,0,0
Pre-Staff Draft,2018,113,re-signed as assistant coach,22,0,0,0,0
Pre-Staff Draft,2018,263,re-signed as head coach,23,0,0,0,0
Pre-Staff Draft,2018,249,re-signed as head coach,26,0,0,0,0
Pre-Staff Draft,2018,137,re-signed as defensive coordinator,27,0,0,0,0
Pre-Staff Draft,2018,146,re-signed as head coach,28,0,0,0,0
Pre-Staff Draft,2018,185,re-signed as offensive coordinator,29,0,0,0,0
Pre-Staff Draft,2018,147,re-signed as defensive coordinator,29,0,0,0,0
Pre-Staff Draft,2018,68,re-signed as defensive coordinator,31,0,0,0,0
Pre-Staff Draft,2018,158,re-signed as assistant coach,31,0,0,0,0
Staff Draft,2018,28,hired as head coach,1,0,0,0,0
Staff Draft,2018,219,fired as head coach,1,0,0,0,0
Staff Draft,2018,219,hired as head coach,27,0,0,0,0
Staff Draft,2018,135,fired as head coach,27,0,0,0,0
Staff Draft,2018,106,hired as head coach,29,0,0,0,0
Staff Draft,2018,30,hired as head coach,6,0,0,0,0
Staff Draft,2018,17,hired as head coach,3,0,0,0,0
Staff Draft,2018,297,hired as head coach,17,0,0,0,0
Staff Draft,2018,85,fired as head coach,17,0,0,0,0
Staff Draft,2018,85,hired as head coach,11,0,0,0,0
Staff Draft,2018,268,fired as head coach,11,0,0,0,0
Staff Draft,2018,268,hired as offensive coordinator,5,0,0,0,0
Staff Draft,2018,51,hired as offensive coordinator,10,0,0,0,0
Staff Draft,2018,11,hired as offensive coordinator,2,0,0,0,0
Staff Draft,2018,121,hired as offensive coordinator,24,0,0,0,0
