Staff_ID,Last_Name,First_Name,Current_Team,Role,Primary_Group,Salary,Player_Development,Young_Player_Development,Motivation,Discipline,Play_Calling,Strength_Training,Conditioning,Intelligence,Scouting_Ability,Interviewing,Age,Retired,Years_on_Contract,Suitable_Head_Coach,Suitable_Offensive_Coordinator,Suitable_Defensive_Coordinator,Suitable_Assistant_Coach,Suitable_Strength_Coordinator
0,Arians,Bruce,99,None,Quarterbacks,0,58,62,33,28,56,0,0,85,68,44,69,1,0,42,58,0,55,0
1,Goodwin,Harold,25,Offensive Coordinator,Offensive Linemen,382,35,51,56,28,68,0,0,68,72,57,48,0,3,45,53,0,47,0
2,Bowles,Todd,0,Defensive Coordinator,Secondary,321,79,77,29,34,65,0,0,28,21,41,58,0,2,42,0,57,58,0
3,Jones,Amos,99,None,Linebackers,0,72,17,45,32,56,0,0,14,14,6,62,0,0,34,0,35,24,0
4,Morris,Buddy,0,Strength Coordinator,Strength,134,0,0,0,0,0,64,44,71,0,0,64,0,1,0,0,0,0,53
5,Smith,Mike,6,Assistant Coach,Defensive Linemen,410,51,49,42,49,36,0,0,83,77,80,62,0,4,51,0,52,54,0
6,Koetter,Dirk,1,Offensive Coordinator,Quarterbacks,181,46,15,35,38,76,0,0,35,17,18,62,0,3,29,33,0,23,0
7,Nolan,Mike,99,None,Secondary,0,58,31,71,84,24,0,0,52,25,36,62,1,0,57,0,32,38,0
8,Armstrong,Keith,1,Assistant Coach,Secondary,208,44,88,45,41,19,0,0,17,47,19,58,0,3,41,0,46,56,0
9,Neibel,A.J.,99,None,Strength,0,0,0,0,0,0,34,51,57,0,0,49,0,0,0,0,0,0,41
10,Harbaugh,John,99,None,Secondary,0,60,31,67,34,0,0,0,56,53,36,59,0,0,50,0,33,41,0
11,Kubiak,Gary,2,Offensive Coordinator,Quarterbacks,413,53,74,22,38,4,0,0,81,19,71,60,0,4,41,39,0,57,0
