Year,Division,Place,Team,Wins,Losses,Ties,Note,Points_Scored,Points_Allowed,Conference_Wins,Conference_Losses,Conference_Ties,Division_Wins,Division_Losses,Division_Ties
2021,AC North,1,2,9,7,0,Won Division,371,307,8,4,0,5,1,0
2021,AC North,2,30,9,7,0,Wild Card,408,369,7,5,0,4,2,0
2021,AC North,3,6,8,8,0,None,376,329,6,6,0,3,3,0
2021,AC North,4,22,5,11,0,None,335,400,4,8,0,0,6,0
2021,AC South,1,28,11,5,0,Won Division,325,226,8,4,0,4,2,0
2021,AC South,2,31,8,8,0,None,358,288,5,7,0,2,4,0
2021,AC South,3,11,7,9,0,None,324,342,6,6,0,3,3,0
2021,AC South,4,12,7,9,0,None,379,387,5,7,0,3,3,0
2021,AC East,1,14,11,5,0,Won Division,442,346,8,4,0,4,2,0
2021,AC East,2,3,8,8,0,None,371,378,6,6,0,3,3,0
2021,AC East,3,19,6,9,1,None,313,398,5,6,1,2,3,1
2021,AC East,4,16,5,10,1,None,316,372,4,7,1,2,3,1
2021,AC West,1,23,10,6,0,Won Division,373,355,7,5,0,4,2,0
2021,AC West,2,8,9,7,0,Wild Card,389,411,7,5,0,4,2,0
2021,AC West,3,20,8,8,0,None,404,366,6,6,0,3,3,0
2021,AC West,4,13,7,9,0,None,273,382,3,9,0,1,5,0
2021,NC North,1,10,14,2,0,Won Division,470,319,10,2,0,5,1,0
2021,NC North,2,9,13,3,0,Wild Card,393,238,9,3,0,4,2,0
2021,NC North,3,15,5,11,0,None,264,372,4,8,0,3,3,0
2021,NC North,4,5,1,15,0,None,170,440,0,12,0,0,6,0
2021,NC South,1,4,13,3,0,Won Division,433,281,9,3,0,4,2,0
2021,NC South,2,27,9,6,1,Wild Card,377,246,7,4,1,4,2,0
2021,NC South,3,1,6,10,0,None,332,400,4,8,0,2,4,0
2021,NC South,4,17,4,12,0,None,279,419,3,9,0,2,4,0
2021,NC East,1,7,9,7,0,Won Division,418,390,7,5,0,3,3,0
2021,NC East,2,21,8,7,1,None,448,406,7,4,1,4,2,0
2021,NC East,3,18,8,8,0,None,427,424,7,5,0,3,3,0
2021,NC East,4,29,6,10,0,None,346,426,5,7,0,2,4,0
2021,NC West,1,25,11,5,0,Won Division,406,379,7,5,0,5,1,0
2021,NC West,2,0,9,7,0,None,402,370,7,5,0,4,2,0
2021,NC West,3,24,5,11,0,None,262,354,4,8,0,2,4,0
2021,NC West,4,26,5,11,0,None,310,374,5,7,0,1,5,0
2020,AC North,1,30,10,6,0,Won Division,372,308,7,5,0,4,2,0
2020,AC North,2,22,10,6,0,None,413,371,6,6,0,1,5,0
2020,AC North,3,6,9,7,0,None,358,304,8,4,0,5,1,0
2020,AC North,4,2,8,8,0,None,403,349,7,5,0,2,4,0
2020,AC South,1,28,8,8,0,Won Division,295,320,7,5,0,4,2,0
2020,AC South,2,12,8,8,0,None,442,347,6,6,0,4,2,0
2020,AC South,3,31,7,9,0,None,320,407,5,7,0,2,4,0
2020,AC South,4,11,5,11,0,None,283,423,2,10,0,2,4,0
2020,AC East,1,19,10,6,0,Won Division,421,377,6,6,0,5,1,0
2020,AC East,2,3,10,6,0,Wild Card,410,345,7,5,0,3,3,0
2020,AC East,3,14,9,6,1,None,360,344,8,4,0,3,3,0
2020,AC East,4,16,2,14,0,None,254,437,1,11,0,1,5,0
2020,AC West,1,13,13,3,0,Won Division,503,275,9,3,0,4,2,0
2020,AC West,2,20,12,4,0,Wild Card,483,339,9,3,0,5,1,0
2020,AC West,3,8,9,7,0,None,395,339,6,6,0,3,3,0
2020,AC West,4,23,4,12,0,None,267,446,2,10,0,0,6,0
2020,NC North,1,10,15,1,0,Won Division,476,315,12,0,0,6,0,0
2020,NC North,2,15,9,7,0,Wild Card,324,319,7,5,0,2,4,0
2020,NC North,3,9,7,9,0,None,355,304,5,7,0,3,3,0
2020,NC North,4,5,3,13,0,None,203,431,2,10,0,1,5,0
2020,NC South,1,1,8,8,0,Won Division,321,361,7,5,0,3,3,0
2020,NC South,2,17,7,9,0,None,418,438,5,7,0,2,4,0
2020,NC South,3,4,6,10,0,None,371,386,6,6,0,4,2,0
2020,NC South,4,27,6,10,0,None,318,376,5,7,0,3,3,0
2020,NC East,1,21,9,7,0,Won Division,379,393,7,5,0,3,3,0
2020,NC East,2,29,9,7,0,Wild Card,423,339,7,5,0,3,3,0
2020,NC East,3,18,7,9,0,None,415,423,5,7,0,3,3,0
2020,NC East,4,7,7,9,0,None,332,368,6,6,0,3,3,0
2020,NC West,1,25,11,5,0,Won Division,359,338,8,4,0,4,2,0
2020,NC West,2,0,7,8,1,None,310,321,6,6,0,4,2,0
2020,NC West,3,26,5,11,0,None,292,408,4,8,0,2,4,0
2020,NC West,4,24,5,11,0,None,276,300,4,8,0,2,4,0
2019,AC North,1,6,8,8,0,Won Division,357,373,5,7,0,3,3,0
2019,AC North,2,2,8,8,0,None,323,330,5,7,0,3,3,0
2019,AC North,3,22,5,11,0,None,327,357,4,8,0,3,3,0
2019,AC North,4,30,5,11,0,None,285,437,4,8,0,3,3,0
2019,AC South,1,31,10,6,0,Won Division,452,333,7,5,0,5,1,0
2019,AC South,2,28,9,7,0,None,294,305,6,6,0,3,3,0
2019,AC South,3,12,8,8,0,None,377,368,5,7,0,2,4,0
2019,AC South,4,11,5,10,1,None,252,358,4,7,1,2,4,0
2019,AC East,1,3,12,4,0,Won Division,409,273,9,3,0,4,2,0
2019,AC East,2,16,11,5,0,Wild Card,402,306,8,4,0,5,1,0
2019,AC East,3,19,11,5,0,Wild Card,495,367,8,4,0,2,4,0
2019,AC East,4,14,9,7,0,None,370,344,7,5,0,1,5,0
2019,AC West,1,13,10,6,0,Won Division,325,328,8,4,0,4,2,0
2019,AC West,2,20,10,6,0,None,409,318,7,5,0,3,3,0
2019,AC West,3,23,6,9,1,None,328,373,4,7,1,3,3,0
2019,AC West,4,8,6,10,0,None,309,385,4,8,0,2,4,0
2019,NC North,1,10,15,1,0,Won Division,494,236,11,1,0,5,1,0
2019,NC North,2,9,10,6,0,Wild Card,372,302,8,4,0,4,2,0
2019,NC North,3,15,7,9,0,None,303,343,6,6,0,2,4,0
2019,NC North,4,5,2,14,0,None,249,394,2,10,0,1,5,0
2019,NC South,1,4,9,7,0,Won Division,304,280,7,5,0,4,2,0
2019,NC South,2,17,9,7,0,Wild Card,425,419,6,6,0,1,5,0
2019,NC South,3,27,8,8,0,None,342,313,8,4,0,5,1,0
2019,NC South,4,1,3,13,0,None,253,382,2,10,0,2,4,0
2019,NC East,1,21,9,7,0,Won Division,419,331,7,5,0,4,2,0
2019,NC East,2,18,8,8,0,None,415,468,6,6,0,3,3,0
2019,NC East,3,7,5,11,0,None,257,395,5,7,0,3,3,0
2019,NC East,4,29,5,11,0,None,306,434,4,8,0,2,4,0
2019,NC West,1,25,10,6,0,Won Division,335,293,7,5,0,4,2,0
2019,NC West,2,24,9,7,0,None,349,333,7,5,0,5,1,0
2019,NC West,3,26,8,8,0,None,361,326,6,6,0,2,4,0
2019,NC West,4,0,5,11,0,None,261,355,4,8,0,1,5,0
2018,AC North,1,22,8,8,0,Won Division,317,321,6,6,0,4,2,0
2018,AC North,2,2,7,9,0,None,301,295,5,7,0,2,4,0
2018,AC North,3,6,6,10,0,None,280,365,5,7,0,4,2,0
2018,AC North,4,30,2,14,0,None,288,413,2,10,0,2,4,0
2018,AC South,1,28,11,5,0,Won Division,379,327,9,3,0,6,0,0
2018,AC South,2,12,11,5,0,Wild Card,419,363,7,5,0,3,3,0
2018,AC South,3,31,8,7,1,None,380,319,5,6,1,3,3,0
2018,AC South,4,11,5,11,0,None,330,368,2,10,0,0,6,0
2018,AC East,1,3,13,3,0,Won Division,473,321,11,1,0,5,1,0
