Category,Team/All_Teams,Place,Record,Year,Team,Opponent
Points Scored,0,0,45,2017,0,18
Points Scored,0,1,38,2016,0,1
Points Scored,0,2,38,2017,0,10
Points Scored,0,3,38,2020,0,25
Points Scored,0,4,38,2021,0,25
Points Scored,0,5,37,2015,0,17
Points Scored,0,6,37,2017,0,21
Points Scored,0,7,37,2020,0,16
Points Scored,0,8,36,2014,0,18
Points Scored,0,9,36,2017,0,25
Points Scored,0,10,34,2016,0,25
Points Scored,0,11,34,2017,0,28
Points Scored,0,12,34,2021,0,25
Points Scored,0,13,33,2019,0,17
Points Scored,0,14,31,2015,0,30
Points Scored,0,15,31,2017,0,4
Points Scored,0,16,31,2018,0,23
Points Scored,0,17,31,2019,0,26
Points Scored,0,18,31,2020,0,26
Points Scored,0,19,31,2021,0,26
Points Scored,0,20,31,2021,0,29
Points Scored,0,21,30,2014,0,25
Points Scored,0,22,30,2017,0,24
Points Scored,0,23,30,2018,0,24
Points Scored,0,24,30,2018,0,15
Points Scored,0,25,30,2021,0,12
Points Scored,0,26,29,2021,0,26
Points Scored,0,27,28,2014,0,26
Points Scored,0,28,28,2017,0,24
Points Scored,0,29,27,2015,0,2
Points Scored,0,30,27,2015,0,26
Points Scored,0,31,27,2018,0,29
Points Scored,0,32,27,2019,0,29
Points Scored,0,33,27,2020,0,19
Points Scored,0,34,27,2021,0,24
Points Scored,0,35,26,2018,0,26
Points Scored,0,36,25,2014,0,20
Points Scored,0,37,25,2019,0,1
Points Scored,0,38,25,2021,0,15
Points Scored,0,39,24,2014,0,25
Points Scored,0,40,24,2015,0,24
Points Scored,0,41,24,2015,0,22
Points Scored,0,42,24,2016,0,3
Points Scored,0,43,24,2016,0,7
Points Scored,0,44,24,2016,0,17
Points Scored,0,45,24,2016,0,24
Points Scored,0,46,24,2017,0,26
Points Scored,0,47,24,2019,0,25
Points Scored,0,48,24,2020,0,29
Points Scored,0,49,24,2021,0,11
Points Scored,0,50,24,2021,0,10
Points Scored,0,51,24,2021,0,5
Points Scored,0,52,24,2021,0,24
Points Scored,0,53,24,2021,0,9
Points Scored,0,54,23,2014,0,21
Points Scored,0,55,23,2014,0,13
Points Scored,0,56,23,2015,0,21
Points Scored,0,57,23,2016,0,16
Points Scored,0,58,23,2018,0,8
Points Scored,0,59,23,2018,0,25
Points Scored,0,60,23,2019,0,22
Points Scored,0,61,21,2014,0,24
Points Scored,0,62,21,2016,0,26
Points Scored,0,63,21,2017,0,11
Points Scored,0,64,21,2018,0,1
Points Scored,0,65,21,2019,0,27
Points Scored,0,66,21,2020,0,1
Points Scored,0,67,21,2020,0,18
Points Scored,0,68,21,2020,0,24
Points Scored,0,69,21,2020,0,5
Points Scored,0,70,20,2014,0,7
Points Scored,0,71,20,2015,0,6
Points Scored,0,72,20,2016,0,26
Points Scored,0,73,20,2016,0,25
Points Scored,0,74,20,2018,0,20
Points Scored,0,75,20,2021,0,17
Points Scored,0,76,19,2015,0,15
Points Scored,0,77,19,2015,0,25
Points Scored,0,78,19,2017,0,26
Points Scored,0,79,19,2019,0,4
Points Scored,0,80,18,2017,0,25
Points Scored,0,81,17,2014,0,8
Points Scored,0,82,17,2014,0,24
Points Scored,0,83,17,2015,0,10
Points Scored,0,84,17,2015,0,9
Points Scored,0,85,17,2015,0,25
Points Scored,0,86,17,2016,0,14
Points Scored,0,87,17,2018,0,13
Points Scored,0,88,17,2018,0,26
Points Scored,0,89,16,2014,0,9
Points Scored,0,90,16,2016,0,24
Points Scored,0,91,16,2016,0,9
Points Scored,0,92,16,2017,0,7
Points Scored,0,93,16,2017,0,31
Points Scored,0,94,16,2018,0,24
Points Scored,0,95,16,2020,0,7
Points Scored,0,96,14,2014,0,29
Points Scored,0,97,14,2014,0,1
Points Scored,0,98,14,2016,0,19
Points Scored,0,99,14,2018,0,9
Points Allowed,0,0,0,2017,0,26
Points Allowed,0,1,0,2018,0,8
Points Allowed,0,2,3,2018,0,5
Points Allowed,0,3,3,2018,0,25
Points Allowed,0,4,3,2018,0,25
Points Allowed,0,5,6,2015,0,15
Points Allowed,0,6,6,2020,0,24
Points Allowed,0,7,7,2014,0,8
Points Allowed,0,8,7,2017,0,12
Points Allowed,0,9,7,2017,0,24
Points Allowed,0,10,7,2018,0,26
Points Allowed,0,11,9,2014,0,9
Points Allowed,0,12,9,2017,0,25
Points Allowed,0,13,9,2018,0,26
Points Allowed,0,14,10,2014,0,20
Points Allowed,0,15,10,2016,0,1
Points Allowed,0,16,10,2016,0,26
Points Allowed,0,17,10,2018,0,24
Points Allowed,0,18,10,2018,0,15
Points Allowed,0,19,10,2019,0,29
Points Allowed,0,20,10,2019,0,1
Points Allowed,0,21,10,2019,0,22
Points Allowed,0,22,10,2020,0,26
Points Allowed,0,23,10,2020,0,14
Points Allowed,0,24,10,2020,0,26
Points Allowed,0,25,10,2021,0,5
Points Allowed,0,26,10,2021,0,24
Points Allowed,0,27,12,2017,0,26
Points Allowed,0,28,13,2015,0,26
Points Allowed,0,29,13,2016,0,26
Points Allowed,0,30,13,2016,0,4
Points Allowed,0,31,13,2017,0,11
Points Allowed,0,32,13,2019,0,25
Points Allowed,0,33,13,2021,0,28
Points Allowed,0,34,14,2014,0,23
Points Allowed,0,35,14,2014,0,24
Points Allowed,0,36,14,2017,0,7
Points Allowed,0,37,14,2017,0,24
Points Allowed,0,38,14,2019,0,24
Points Allowed,0,39,14,2021,0,26
Points Allowed,0,40,15,2019,0,17
Points Allowed,0,41,15,2019,0,9
Points Allowed,0,42,15,2020,0,3
Points Allowed,0,43,16,2014,0,1
Points Allowed,0,44,16,2015,0,5
Points Allowed,0,45,17,2015,0,21
Points Allowed,0,46,17,2015,0,26
Points Allowed,0,47,17,2016,0,17
Points Allowed,0,48,17,2016,0,9
Points Allowed,0,49,17,2016,0,24
Points Allowed,0,50,17,2020,0,1
Points Allowed,0,51,17,2020,0,18
Points Allowed,0,52,17,2021,0,11
Points Allowed,0,53,17,2021,0,17
Points Allowed,0,54,18,2020,0,24
Points Allowed,0,55,19,2015,0,30
Points Allowed,0,56,19,2018,0,9
Points Allowed,0,57,20,2016,0,24
Points Allowed,0,58,20,2016,0,14
Points Allowed,0,59,20,2017,0,18
Points Allowed,0,60,20,2020,0,21
Points Allowed,0,61,20,2021,0,12
Points Allowed,0,62,21,2014,0,26
Points Allowed,0,63,21,2015,0,24
Points Allowed,0,64,21,2015,0,10
Points Allowed,0,65,21,2015,0,24
Points Allowed,0,66,21,2015,0,22
Points Allowed,0,67,21,2016,0,7
Points Allowed,0,68,21,2016,0,25
Points Allowed,0,69,21,2016,0,25
Points Allowed,0,70,21,2017,0,4
Points Allowed,0,71,21,2018,0,24
Points Allowed,0,72,23,2014,0,7
Points Allowed,0,73,23,2014,0,24
Points Allowed,0,74,23,2015,0,6
Points Allowed,0,75,23,2018,0,1
Points Allowed,0,76,23,2019,0,24
Points Allowed,0,77,23,2020,0,25
Points Allowed,0,78,23,2021,0,15
Points Allowed,0,79,23,2021,0,25
Points Allowed,0,80,24,2015,0,25
Points Allowed,0,81,24,2017,0,31
Points Allowed,0,82,24,2018,0,29
Points Allowed,0,83,24,2018,0,20
Points Allowed,0,84,24,2018,0,23
Points Allowed,0,85,24,2019,0,6
Points Allowed,0,86,24,2020,0,25
Points Allowed,0,87,24,2021,0,26
Points Allowed,0,88,25,2015,0,9
Points Allowed,0,89,25,2021,0,9
Points Allowed,0,90,27,2014,0,29
Points Allowed,0,91,27,2014,0,25
Points Allowed,0,92,27,2019,0,25
Points Allowed,0,93,27,2019,0,30
Points Allowed,0,94,27,2020,0,5
Points Allowed,0,95,28,2014,0,25
Points Allowed,0,96,28,2014,0,13
Points Allowed,0,97,28,2015,0,17
Points Allowed,0,98,28,2017,0,25
Points Allowed,0,99,28,2019,0,26
Passing Yards,0,0,411,2020,0,16
Passing Yards,0,1,369,2017,0,10
Passing Yards,0,2,367,2021,0,31
Passing Yards,0,3,360,2014,0,21
Passing Yards,0,4,357,2018,0,20
Passing Yards,0,5,327,2014,0,18
Passing Yards,0,6,323,2017,0,11
Passing Yards,0,7,320,2014,0,13
Passing Yards,0,8,311,2021,0,25
Passing Yards,0,9,308,2021,0,11
Passing Yards,0,10,303,2018,0,24
Passing Yards,0,11,303,2020,0,5
Passing Yards,0,12,301,2014,0,20
Passing Yards,0,13,297,2015,0,24
Passing Yards,0,14,291,2019,0,4
Passing Yards,0,15,287,2020,0,7
Passing Yards,0,16,286,2019,0,25
Passing Yards,0,17,284,2017,0,24
Passing Yards,0,18,282,2021,0,26
Passing Yards,0,19,279,2014,0,23
