Category,Team/All_Teams,Place,Record,Year,Team
Points Scored,0,0,253,2017,0
Points Scored,0,1,251,2021,0
Points Scored,0,2,245,2022,0
Points Scored,0,3,238,2023,0
Points Scored,0,4,208,2016,0
Points Scored,0,5,207,2015,0
Points Scored,0,6,202,2014,0
Points Scored,0,7,200,2018,0
Points Scored,0,8,193,2020,0
Points Scored,0,9,163,2019,0
Points Allowed,0,0,157,2018,0
Points Allowed,0,1,192,2017,0
Points Allowed,0,2,200,2020,0
Points Allowed,0,3,201,2022,0
Points Allowed,0,4,209,2016,0
Points Allowed,0,5,216,2015,0
Points Allowed,0,6,221,2019,0
Points Allowed,0,7,223,2014,0
Points Allowed,0,8,231,2021,0
Points Allowed,0,9,253,2023,0
Passing Yards,0,0,2540,2023,0
Passing Yards,0,1,2503,2022,0
Passing Yards,0,2,2436,2021,0
Passing Yards,0,3,2364,2014,0
Passing Yards,0,4,2305,2017,0
Passing Yards,0,5,2144,2020,0
Passing Yards,0,6,2055,2019,0
Passing Yards,0,7,2038,2018,0
Passing Yards,0,8,1928,2015,0
Passing Yards,0,9,1736,2016,0
Passing Yards Allowed,0,0,2085,2019,0
Passing Yards Allowed,0,1,2105,2016,0
Passing Yards Allowed,0,2,2181,2018,0
Passing Yards Allowed,0,3,2256,2017,0
Passing Yards Allowed,0,4,2279,2015,0
Passing Yards Allowed,0,5,2333,2014,0
Passing Yards Allowed,0,6,2384,2020,0
Passing Yards Allowed,0,7,2409,2022,0
Passing Yards Allowed,0,8,2588,2021,0
Passing Yards Allowed,0,9,2802,2023,0
Rushing Yards,0,0,1641,2017,0
Rushing Yards,0,1,1506,2016,0
Rushing Yards,0,2,1442,2015,0
Rushing Yards,0,3,1404,2018,0
Rushing Yards,0,4,1359,2019,0
Rushing Yards,0,5,1325,2022,0
Rushing Yards,0,6,1323,2021,0
Rushing Yards,0,7,1201,2020,0
Rushing Yards,0,8,1130,2023,0
Rushing Yards,0,9,1098,2014,0
Rushing Yards Allowed,0,0,1001,2023,0
Rushing Yards Allowed,0,1,1166,2017,0
Rushing Yards Allowed,0,2,1176,2018,0
Rushing Yards Allowed,0,3,1202,2019,0
Rushing Yards Allowed,0,4,1208,2021,0
Rushing Yards Allowed,0,5,1221,2014,0
Rushing Yards Allowed,0,6,1265,2016,0
Rushing Yards Allowed,0,7,1280,2020,0
Rushing Yards Allowed,0,8,1289,2022,0
Rushing Yards Allowed,0,9,1336,2015,0
Total Yards,0,0,3946,2017,0
Total Yards,0,1,3828,2022,0
Total Yards,0,2,3759,2021,0
Total Yards,0,3,3671,2023,0
Total Yards,0,4,3463,2014,0
Total Yards,0,5,3443,2018,0
Total Yards,0,6,3414,2019,0
Total Yards,0,7,3371,2015,0
Total Yards,0,8,3345,2020,0
Total Yards,0,9,3242,2016,0
Total Yards Allowed,0,0,3287,2019,0
Total Yards Allowed,0,1,3357,2018,0
Total Yards Allowed,0,2,3371,2016,0
Total Yards Allowed,0,3,3423,2017,0
Total Yards Allowed,0,4,3554,2014,0
Total Yards Allowed,0,5,3616,2015,0
Total Yards Allowed,0,6,3664,2020,0
Total Yards Allowed,0,7,3698,2022,0
