Week,Visitor_Team,Home_Team
Ex. Season Week 1,1,16
Ex. Season Week 1,10,2
Ex. Season Week 2,0,28
Ex. Season Week 2,4,3
Ex. Season Week 2,5,6
Ex. Season Week 2,7,20
Ex. Season Week 2,9,30
Ex. Season Week 2,15,22
Ex. Season Week 2,17,14
Ex. Season Week 2,18,23
Ex. Season Week 2,21,8
Ex. Season Week 2,24,11
Ex. Season Week 2,25,31
Ex. Season Week 2,26,12
Ex. Season Week 2,27,19
Ex. Season Week 2,29,13
Ex. Season Week 3,2,26
Ex. Season Week 3,3,7
Ex. Season Week 3,6,24
Ex. Season Week 3,8,1
Ex. Season Week 3,11,5
Ex. Season Week 3,12,10
Ex. Season Week 3,13,27
Ex. Season Week 3,14,18
Ex. Season Week 3,16,21
Ex. Season Week 3,19,29
Ex. Season Week 3,20,4
Ex. Season Week 3,22,0
Ex. Season Week 3,23,17
Ex. Season Week 3,28,15
Ex. Season Week 3,30,25
Ex. Season Week 3,31,9
Ex. Season Week 4,0,11
Ex. Season Week 4,1,19
Ex. Season Week 4,4,14
Ex. Season Week 4,5,22
Ex. Season Week 4,7,23
Ex. Season Week 4,9,2
Ex. Season Week 4,10,30
Ex. Season Week 4,15,6
Ex. Season Week 4,17,3
Ex. Season Week 4,18,20
Ex. Season Week 4,21,13
Ex. Season Week 4,24,28
Ex. Season Week 4,25,12
Ex. Season Week 4,26,31
Ex. Season Week 4,27,16
Ex. Season Week 4,29,8
Ex. Season Week 5,2,25
Ex. Season Week 5,3,18
Ex. Season Week 5,6,0
Ex. Season Week 5,8,27
Ex. Season Week 5,11,15
Ex. Season Week 5,12,9
Ex. Season Week 5,13,1
Ex. Season Week 5,14,7
Ex. Season Week 5,16,29
Ex. Season Week 5,19,21
Ex. Season Week 5,20,17
Ex. Season Week 5,22,24
Ex. Season Week 5,23,4
Ex. Season Week 5,28,5
Ex. Season Week 5,30,26
Ex. Season Week 5,31,10
Reg. Season Week 1,4,1
Reg. Season Week 1,6,2
Reg. Season Week 1,9,5
Reg. Season Week 1,12,11
Reg. Season Week 1,13,8
Reg. Season Week 1,14,3
Reg. Season Week 1,15,10
Reg. Season Week 1,16,19
Reg. Season Week 1,18,7
Reg. Season Week 1,21,29
Reg. Season Week 1,23,20
Reg. Season Week 1,24,0
Reg. Season Week 1,26,25
Reg. Season Week 1,27,17
Reg. Season Week 1,30,22
Reg. Season Week 1,31,28
Reg. Season Week 2,1,23
Reg. Season Week 2,3,0
Reg. Season Week 2,5,31
Reg. Season Week 2,6,21
Reg. Season Week 2,7,2
Reg. Season Week 2,8,4
Reg. Season Week 2,12,9
Reg. Season Week 2,15,11
Reg. Season Week 2,19,26
Reg. Season Week 2,20,17
Reg. Season Week 2,22,18
Reg. Season Week 2,24,16
Reg. Season Week 2,25,14
Reg. Season Week 2,27,13
Reg. Season Week 2,28,10
Reg. Season Week 2,29,30
Reg. Season Week 3,0,27
Reg. Season Week 3,3,20
Reg. Season Week 3,4,10
Reg. Season Week 3,5,21
Reg. Season Week 3,6,16
