Player_ID,Number_Formations,I_Normal,I_TE_Pairs,I_WR_Slot,Pro_Normal,Pro_TE_Pairs,Pro_WR_Slot,Weak_Normal,Weak_TE_Pairs,Weak_Three_WR,Strong_Normal,Strong_TE_Pairs,Strong_Three_WR,Single-Back_Normal,Single-Back_TE_Pairs,Single-Back_Trips_WR,Single-Back_Four_WR,Five_WR_Spread,Goal_Line_Three_TE
898,15,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
1006,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1092,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1138,16,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1221,17,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1344,11,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1
1441,14,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
1480,16,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1488,16,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
1557,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
1653,17,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1662,16,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
1751,16,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
2407,14,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
3209,14,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1
3218,15,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
3221,15,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
3245,16,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
3249,16,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
4008,16,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
4020,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4040,16,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
4859,15,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
4874,15,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
5641,15,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
