Week,Visitor_Team,Home_Team
Ex. Season Week 1,3,18
Ex. Season Week 2,3,4
Ex. Season Week 2,6,13
Ex. Season Week 2,7,23
Ex. Season Week 2,10,28
Ex. Season Week 2,11,19
Ex. Season Week 2,14,1
Ex. Season Week 2,16,29
Ex. Season Week 2,17,26
Ex. Season Week 2,20,15
Ex. Season Week 2,21,5
Ex. Season Week 2,22,18
Ex. Season Week 2,24,8
Ex. Season Week 2,25,2
Ex. Season Week 2,27,12
Ex. Season Week 2,30,9
Ex. Season Week 2,31,0
Ex. Season Week 3,0,15
Ex. Season Week 3,1,31
Ex. Season Week 3,2,7
Ex. Season Week 3,3,22
Ex. Season Week 3,8,25
Ex. Season Week 3,9,20
Ex. Season Week 3,10,26
Ex. Season Week 3,12,5
Ex. Season Week 3,13,4
Ex. Season Week 3,14,27
Ex. Season Week 3,18,11
Ex. Season Week 3,19,6
Ex. Season Week 3,21,16
Ex. Season Week 3,23,24
Ex. Season Week 3,28,17
Ex. Season Week 3,30,29
Ex. Season Week 4,4,16
Ex. Season Week 4,5,24
Ex. Season Week 4,6,0
Ex. Season Week 4,7,14
Ex. Season Week 4,12,9
Ex. Season Week 4,15,13
Ex. Season Week 4,17,11
Ex. Season Week 4,18,19
Ex. Season Week 4,20,10
Ex. Season Week 4,22,21
Ex. Season Week 4,23,25
Ex. Season Week 4,26,30
Ex. Season Week 4,27,3
Ex. Season Week 4,28,1
Ex. Season Week 4,29,2
Ex. Season Week 4,31,8
Ex. Season Week 5,0,23
Ex. Season Week 5,1,12
Ex. Season Week 5,2,17
Ex. Season Week 5,4,22
Ex. Season Week 5,5,30
Ex. Season Week 5,8,7
Ex. Season Week 5,9,3
Ex. Season Week 5,11,6
Ex. Season Week 5,13,10
Ex. Season Week 5,15,28
Ex. Season Week 5,16,18
Ex. Season Week 5,19,21
Ex. Season Week 5,24,20
Ex. Season Week 5,25,31
Ex. Season Week 5,26,14
Ex. Season Week 5,29,27
Reg. Season Week 1,3,5
Reg. Season Week 1,4,27
Reg. Season Week 1,6,2
Reg. Season Week 1,10,24
Reg. Season Week 1,11,8
Reg. Season Week 1,12,21
Reg. Season Week 1,15,26
Reg. Season Week 1,16,14
Reg. Season Week 1,17,1
Reg. Season Week 1,18,9
Reg. Season Week 1,20,19
Reg. Season Week 1,23,0
Reg. Season Week 1,25,7
Reg. Season Week 1,28,13
Reg. Season Week 1,29,31
Reg. Season Week 1,30,22
Reg. Season Week 2,0,18
Reg. Season Week 2,1,6
Reg. Season Week 2,5,25
Reg. Season Week 2,7,28
Reg. Season Week 2,9,4
Reg. Season Week 2,12,29
Reg. Season Week 2,13,8
Reg. Season Week 2,14,3
Reg. Season Week 2,16,15
Reg. Season Week 2,17,30
Reg. Season Week 2,19,10
Reg. Season Week 2,21,11
Reg. Season Week 2,22,2
Reg. Season Week 2,24,23
Reg. Season Week 2,26,27
Reg. Season Week 2,31,20
Reg. Season Week 3,2,30
Reg. Season Week 3,5,19
Reg. Season Week 3,7,26
Reg. Season Week 3,8,24
Reg. Season Week 3,10,9
Reg. Season Week 3,11,12
Reg. Season Week 3,13,14
Reg. Season Week 3,15,17
Reg. Season Week 3,20,16
Reg. Season Week 3,22,4
Reg. Season Week 3,23,3
Reg. Season Week 3,25,0
Reg. Season Week 3,27,1
Reg. Season Week 3,28,6
Reg. Season Week 3,29,21
Reg. Season Week 3,31,18
Reg. Season Week 4,1,15
Reg. Season Week 4,3,31
Reg. Season Week 4,4,2
Reg. Season Week 4,9,19
Reg. Season Week 4,10,5
Reg. Season Week 4,12,23
Reg. Season Week 4,14,20
Reg. Season Week 4,16,13
Reg. Season Week 4,17,7
Reg. Season Week 4,18,29
Reg. Season Week 4,21,25
Reg. Season Week 4,27,22
Reg. Season Week 4,28,11
Reg. Season Week 5,0,8
Reg. Season Week 5,1,18
Reg. Season Week 5,2,11
