Staff_ID,Last_Name,First_Name,Current_Team,Role,Primary_Group,Salary,Player_Development,Young_Player_Development,Motivation,Discipline,Play_Calling,Strength_Training,Conditioning,Intelligence,Scouting_Ability,Interviewing,Age,Retired,Years_on_Contract,Suitable_Head_Coach,Suitable_Offensive_Coordinator,Suitable_Defensive_Coordinator,Suitable_Assistant_Coach,Suitable_Strength_Coordinator
0,Arians,Bruce,0,Head Coach,Quarterbacks,434,68,78,44,46,68,0,0,85,74,58,62,0,2,52,68,0,68,0
1,Goodwin,Harold,0,Offensive Coordinator,Offensive Linemen,156,15,39,46,27,63,0,0,68,60,52,41,0,3,36,42,0,37,0
2,Bowles,Todd,0,Defensive Coordinator,Secondary,156,79,64,29,32,62,0,0,28,16,44,51,0,2,41,0,52,52,0
3,Jones,Amos,0,Assistant Coach,Linebackers,116,69,29,46,39,69,0,0,14,34,14,55,0,3,38,0,44,33,0
4,Morris,Buddy,0,Strength Coordinator,Strength,72,0,0,0,0,0,80,63,71,0,0,57,0,2,0,0,0,0,69
5,Smith,Mike,1,Head Coach,Defensive Linemen,389,59,50,49,44,41,0,0,83,82,90,55,0,2,54,0,58,58,0
6,Koetter,Dirk,1,Offensive Coordinator,Quarterbacks,146,48,23,41,51,87,0,0,35,21,33,55,0,2,35,41,0,29,0
7,Nolan,Mike,1,Defensive Coordinator,Secondary,146,67,41,79,85,37,0,0,52,28,42,55,0,2,63,0,42,46,0
8,Armstrong,Keith,1,Assistant Coach,Secondary,109,59,91,43,37,16,0,0,17,40,25,51,0,4,44,0,47,62,0
9,Neibel,A.J.,1,Strength Coordinator,Strength,67,0,0,0,0,0,30,46,57,0,0,42,0,2,0,0,0,0,38
10,Harbaugh,John,2,Head Coach,Secondary,606,68,43,73,39,22,0,0,56,67,31,52,0,2,53,0,45,47,0
11,Kubiak,Gary,2,Offensive Coordinator,Quarterbacks,191,56,70,30,35,22,0,0,81,23,83,53,0,4,45,44,0,58,0
12,Pees,Dean,2,Defensive Coordinator,Linebackers,255,89,73,84,85,89,0,0,52,67,40,65,0,3,73,0,74,68,0
13,Rosburg,Jerry,2,Assistant Coach,Linebackers,191,70,44,39,65,49,0,0,43,43,39,59,0,2,46,0,48,46,0
14,Rogucki,Bob,2,Strength Coordinator,Strength,117,0,0,0,0,0,66,63,90,0,0,61,0,4,0,0,0,0,65
15,Marrone,Doug,3,Head Coach,Offensive Linemen,301,33,9,16,13,24,0,0,36,61,64,50,0,4,22,31,0,25,0
16,Hackett,Nathaniel,3,Offensive Coordinator,Tight Ends,144,15,48,45,26,56,0,0,39,8,26,35,0,4,30,30,0,30,0
17,Schwartz,Jim,3,Defensive Coordinator,Linebackers,165,47,56,56,47,33,0,0,58,55,64,48,0,2,52,0,47,51,0
18,Crossman,Danny,3,Assistant Coach,Secondary,108,32,47,52,62,68,0,0,60,38,58,47,0,4,46,0,43,41,0
19,Ciano,Eric,3,Strength Coordinator,Strength,66,0,0,0,0,0,36,29,47,0,0,38,0,2,0,0,0,0,32
20,Rivera,Ron,4,Head Coach,Linebackers,349,27,49,39,14,64,0,0,70,45,77,52,0,2,37,0,46,44,0
21,Shula,Mike,4,Offensive Coordinator,Quarterbacks,196,22,17,54,29,50,0,0,29,61,40,49,0,2,34,35,0,23,0
22,McDermott,Sean,4,Defensive Coordinator,Secondary,196,53,67,73,39,27,0,0,12,33,47,40,0,3,52,0,42,51,0
23,Rodgers,Richard,4,Assistant Coach,Secondary,147,82,25,63,40,16,0,0,89,21,54,52,0,4,54,0,35,44,0
24,Kenn,Joe,4,Strength Coordinator,Strength,90,0,0,0,0,0,52,13,70,0,0,48,0,4,0,0,0,0,32
