Team,Wins,Losses,Ties,Playoff_Appearances,Bowl_Appearances,Bowl_Wins,Playoff_Wins,Playoff_Losses,Turf_Type,Year_Stadium_Opened,Stadium_Capacity,Luxury_Boxes,Club_Seats,Home_City,Upper_Deck_Tickets,End_Zone_Tickets,Mezzanine_Tickets,Sideline_Tickets,Club_Seat_Tickets,Luxury_Box_Tickets,Lost_Salary_Cap_This_Season,Lost_Salary_Cap_Next_Season
0,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Arizona,54,70,75,119,297,124000,0,0
1,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Atlanta,54,70,75,119,297,124000,0,0
2,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Baltimore,53,69,75,116,292,122000,1,0
3,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Buffalo,52,67,75,114,285,119000,7,7
4,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Carolina,51,67,75,113,283,119000,0,0
5,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Chicago,51,66,75,111,278,116000,3,3
6,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Cincinnati,50,65,75,111,278,116000,0,0
7,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Dallas,49,64,75,108,271,113000,0,0
8,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Denver,49,63,75,106,266,111000,0,0
9,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Detroit,48,62,75,106,266,111000,1,1
10,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Green Bay,46,60,75,102,256,107000,1,0
11,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Indianapolis,45,58,75,99,248,104000,2,0
12,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Jacksonville,44,58,75,98,245,102000,3,3
13,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Kansas City,44,57,75,97,242,101000,0,0
14,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Miami,41,53,75,90,226,95000,0,0
15,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Minnesota,40,52,75,89,224,94000,0,0
16,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,New England,39,51,75,87,219,92000,0,0
17,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,New Orleans,39,51,75,86,217,91000,3,0
18,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,New York,39,51,75,86,215,90000,0,0
19,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,New Jersey,39,51,75,86,217,91000,0,0
20,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Oakland,38,50,75,85,212,89000,23,46
21,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Philadelphia,37,49,75,82,207,86000,3,3
22,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Pittsburgh,37,49,75,82,205,86000,3,3
23,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,San Diego,34,45,75,76,191,79000,0,0
24,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Seattle,33,43,75,73,183,76000,0,0
25,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,San Francisco,34,45,75,76,191,79000,0,0
26,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,St. Louis,33,43,75,72,181,76000,2,0
27,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Tampa Bay,32,41,75,70,177,74000,0,0
28,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Tennessee,32,41,75,69,174,73000,2,0
29,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Washington,30,39,75,67,167,70000,0,0
30,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Cleveland,50,65,75,110,276,115000,1,0
31,0,0,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Houston,45,58,75,100,250,104000,19,0
